Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Euro Standard,Noise Level dB(A),Emissions CO [g/km],Emissions HC [g/km],Emissions NOx [g/km],Emissions HC+NOx [g/km],Emissions Particulates [g/km]
FORD,"Focus, Model Year Pre 2010¼",1.6 Duratec Ti-VCT (115PS) Estate,M5,1596,Petrol,8.7,5.4,6.6,32.5,52.3,42.8,157,1695.19065420561,4,71,0.58,0.078,0.031,,
FORD,"Focus, Model Year Pre 2010¼",1.8 Duratec (125PS) 3/5 Door Saloon,M5,1798,Petrol,9.5,5.6,7,29.7,50.4,40.4,167,1795.89504950495,4,71,0.413,0.081,0.034,,
FORD,"Focus, Model Year Pre 2010¼",1.8 Duratec (125PS) Estate,M5,1798,Petrol,9.5,5.6,7,29.7,50.4,40.4,167,1795.89504950495,4,71,0.413,0.081,0.034,,
FORD,"Focus, Model Year Pre 2010¼",1.8 Duratec Flexi-Fuel (125PS) 5 Door Saloon,M5,1798,Petrol / E85 (Flex Fuel),9.5,5.6,7,29.7,50.4,40.4,167,1039.72871287129,4,71,0.413,0.081,0.034,,
FORD,"Focus, Model Year Pre 2010¼",1.8 Duratec Flexi-Fuel (125PS) Estate,M5,1798,Petrol / E85 (Flex Fuel),9.5,5.6,7,29.7,50.4,40.4,167,1039.72871287129,4,71,0.413,0.081,0.034,,
FORD,"Focus, Model Year Pre 2010¼",2.0 Duratec (145PS) 3/4/5 Door Saloon,M5,1999,Petrol,9.8,5.4,7.1,28.8,52.3,39.8,169,1822.96884422111,4,71,0.501,0.084,0.04,,
FORD,"Focus, Model Year Pre 2010¼",2.0 Duratec (145PS) Estate,M5,1999,Petrol,9.8,5.4,7.1,28.8,52.3,39.8,169,1822.96884422111,4,71,0.501,0.084,0.04,,
FORD,"Focus, Model Year Pre 2010¼",2.0 Duratec (145PS) 3/4/5 Door Saloon,A4,1999,Petrol,11.2,6.1,8,25.2,46.3,35.3,189,2055.35864022663,4,71,0.509,0.087,0.061,,
FORD,"Focus, Model Year Pre 2010¼",2.0 Duratec (145PS) Estate,A4,1999,Petrol,11.2,6.1,8,25.2,46.3,35.3,189,2055.35864022663,4,71,0.509,0.087,0.061,,
FORD,"Focus, Model Year Pre 2010¼",2.5 Duratec ST (225PS) 3/5 Door Saloon,M6,2521,Petrol,13.8,6.8,9.3,20.5,41.5,30.4,224,2386.65,4,74,0.456,0.066,0.03,,
FORD,"Focus, Model Year Pre 2010¼",2.5 Duratec RS (305PS) 3 Door Saloon,M6,2521,Petrol,13.4,7,9.4,21.1,40.4,30.1,225,2410.43720930233,4,75,0.508,0.094,0.062,,
