Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Euro Standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km]
AUDI,A3,2.0 CR TDI 170PS with Stop-Start ,M6,1968,Diesel,5.7,4.2,4.7,49.6,67.3,60.1,123,1261.68519134775,5,72,353,,120,166,0
AUDI,A3,2.0 CR TDI 170PS S-Tronic with Stop-Start ,D6,1968,Diesel,5.6,4.5,4.9,50.4,62.8,57.6,128,1316.44583333333,5,69,179,,135,162,0.1
AUDI,A3,2.0 TFSI 200PS,M6,1984,Petrol,9.8,5.5,7.1,28.8,51.4,39.8,164,1822.96884422111,5,73,294,25,19,,
AUDI,A3,2.0 TFSI 200PS DSG,D6,1984,Petrol,9.9,5.8,7.3,28.5,48.7,38.7,168,1874.78449612403,5,71,235,37,29,,
AUDI,A3,2.0 TFSI 200PS quattro S-tronic,D6,1984,Petrol,9.9,6.1,7.5,28.5,46.3,37.7,174,1924.51352785146,5,71,327,44,36,,
AUDI,A3,S3 2.0 TFSI 265PS quattro ,QM6,1968,Petrol,11.8,6.6,8.5,23.9,42.8,33.2,198,2185.36626506024,5,75,270,33,26,,
AUDI,A3,S3 2.0 TFSI 265PS quattro S-Tronic,D6,1984,Petrol,11.1,6.7,8.3,25.4,42.2,34,193,2133.94588235294,5,72,263,41,34,,
AUDI,A3 Sportback,1.2 FSI 105PS with Stop-Start,M6,1197,Petrol,6.7,4.7,5.5,42.2,60.1,51.4,127,1411.55953307393,5,71,399,35,30,,
AUDI,A3 Sportback,1.2 FSI 105PS 7 speed S-Tronic with Stop-Start,D7,1197,Petrol,6.5,4.6,5.3,43.5,61.4,53.3,123,1361.24127579737,5,70,465,25,21,,
AUDI,A3 Sportback,1.4 TFSI 125PS ,M6,1390,Petrol,8.2,4.9,6.1,34.4,57.6,46.3,143,1567.0444924406,5,73,358,38,34,,
AUDI,A3 Sportback,1.4 TSI 125PS with Stop-Start,M6,1390,Petrol,7.3,4.9,5.8,38.7,57.6,48.7,134,1489.81848049281,5,73,187,25,23,,
AUDI,A3 Sportback,1.4 TFSI 125PS 7speed DSG S-Tronic,D7,1390,Petrol,7.6,4.9,5.9,37.2,57.6,47.9,137,1514.7006263048,5,70,589,52,46,,
AUDI,A3 Sportback,1.4 TSI 125PS 7speed S-Tronic with Stop-Start,D7,1390,Petrol,6.6,4.8,5.5,42.8,58.9,51.4,127,1411.55953307393,5,70,409,48,45,,
AUDI,A3 Sportback,1.6 102PS,M5,1595,Petrol,9.5,5.6,7.1,29.7,50.4,39.8,164,1822.96884422111,5,70,430,44,29,,
AUDI,A3 Sportback,1.6 TDIe 105PS with Stop-Start 1 ,M5,1598,Diesel,5.1,3.8,4.2,55.4,74.3,67.3,112,1126.70549777117,5,72,252,,158,183,0.4
AUDI,A3 Sportback,1.6 TDIe 105PS with Stop-Start 2 ( Limited equipment ),M5,1598,Diesel,5,3.7,4.1,56.5,76.3,68.9,109,1100.54107402032,5,72,252,,158,183,0.3
AUDI,A3 Sportback,1.6 TDI 105PS S-Tronic with Stop-Start,D7,1598,Diesel,4.9,3.9,4.3,57.6,72.4,65.7,112,1154.14429223744,5,69,113,,122,140,0.1
AUDI,A3 Sportback,1.8 TFSI 160PS,M6,1781,Petrol,8.7,5.3,6.6,32.5,53.3,42.8,153,1695.19065420561,5,74,678,71,57,,
AUDI,A3 Sportback,1.8 TFSI 160PS,M6,1781,Petrol,8.7,5.3,6.6,32.5,53.3,42.8,153,1695.19065420561,5,74,303,43,34,,
AUDI,A3 Sportback,1.8 TFSI 160PS 7speed S-Tronic,D7,1781,Petrol,8.5,5.2,6.5,33.2,54.3,43.5,149,1667.91172413793,5,73,459,49,38,,
AUDI,A3 Sportback,2.0 TDI 140PS with Stop-Start,M6,1968,Diesel,5.5,3.8,4.4,51.4,74.3,64.2,115,1181.11028037383,5,75,276,,127,160,0.1
AUDI,A3 Sportback,2.0 TDI 140PS S-Tronic with Stop-Start,D6,1968,Diesel,5.8,4.4,4.9,48.7,64.2,57.6,129,1316.44583333333,5,73,151,,105,126,0.3
AUDI,A3 Sportback,2.0 CR TDI 170PS with Stop-Start,M6,1968,Diesel,5.7,4.2,4.7,49.6,67.3,60.1,123,1261.68519134775,5,72,353,,120,166,0.6
AUDI,A3 Sportback,2.0 TDI 170PS quattro with Stop-Start,QM6,1968,Diesel,6.1,4.6,5.2,46.3,61.4,54.3,135,1396.45082872928,5,73,241,,120,160,0.1
AUDI,A3 Sportback,2.0 CR TDI 170PS S-Tronic with Stop-Start,D6,1968,Diesel,5.6,4.6,5,50.4,61.4,56.5,130,1342.07575221239,5,69,179,,135,162,0.1
AUDI,A3 Sportback,2.0 TFSI 200PS,M6,1984,Petrol,9.9,5.8,7.3,28.5,48.7,38.7,168,1874.78449612403,5,71,235,37,29,,
AUDI,A3 Sportback,2.0 TFSI 200PS S-Tronic,D6,1984,Petrol,9.9,5.8,7.3,28.5,48.7,38.7,168,1874.78449612403,5,71,235,37,29,,
AUDI,A3 Sportback,2.0 TFSI 200PS quattro S-Tronic,D6,1984,Petrol,10,6.2,7.6,28.2,45.6,37.2,176,1950.38064516129,5,71,327,44,36,,
AUDI,A3 Sportback,S3 2.0 TFSI 265PS quattro ,QM6,1984,Petrol,11.8,6.7,8.5,23.9,42.2,33.2,199,2185.36626506024,5,75,229,36,28,,
AUDI,A3 Sportback,S3 2.0 TFSI 265PS quattro S-Tronic,D6,1984,Petrol,11.2,6.8,8.4,25.2,41.5,33.6,195,2159.35,5,72,266,43,35,,
AUDI,A3 Cabriolet,1.2 TFSI 105PS ,M6,1197,Petrol,7,5,5.7,40.4,56.5,49.6,132,1462.78548387097,5,71,433,34,30,,
AUDI,A3 Cabriolet,1.6 TDI 105PS with Stop-Start,M5,1595,Diesel,5.2,3.9,4.3,54.3,72.4,65.7,114,1154.14429223744,5,72,245,,155,180,0.1
AUDI,A3 Cabriolet,1.8 TFSI 160PS,M6,1781,Petrol,8.9,5.5,6.7,31.7,51.4,42.2,156,1719.29289099526,5,74,618,71,57,,
AUDI,A3 Cabriolet,1.8 TFSI 160PS S-Tronic,D6,1781,Petrol,8.7,5.4,6.6,32.5,52.3,42.8,154,1695.19065420561,5,73,571,62,50,,
AUDI,A3 Cabriolet,2.0 TDI 140PS S-Tronic with Stop-Start,D6,1968,Diesel,6,4.6,5.1,47.1,61.4,55.4,134,1368.72346570397,5,73,199,,121,153,0
AUDI,A3 Cabriolet,2.0 CR TDI 140PS with Stop-Start,M6,1968,Diesel,5.7,3.9,4.6,49.6,72.4,61.4,119,1234.97198697068,5,75,235,,130,158,0.1
AUDI,A3 Cabriolet,2.0 TFSI 200PS,M6,1984,Petrol,10,5.6,7.2,28.2,50.4,39.2,169,1850.87142857143,5,73,587,60,48,,
AUDI,A3 Cabriolet,2.0 TFSI 200PS S-Tronic,D6,1984,Petrol,9.9,5.9,7.5,28.5,47.9,37.7,171,1924.51352785146,5,71,311,49,38,,
AUDI,A4 Saloon,1.8 TFSI 120PS,M6,1798,Petrol,9.5,5.6,7.1,29.7,50.4,39.8,164,1822.96884422111,5,73,302,47,37,,
AUDI,A4 Saloon,1.8 FSI 160PS ,M6,1798,Petrol,9.5,5.6,7.1,29.7,50.4,39.8,164,1822.96884422111,5,73,302,47,37,,
AUDI,A4 Saloon,1.8 TFSI 160PS Multitronic,AV,1798,Petrol,9.4,5.9,7.2,30.1,47.9,39.2,169,1850.87142857143,5,74,292,39,33,,
AUDI,A4 Saloon,2.0 TDIe 136PS with Stop-Start 1 ,M5,1968,Diesel,6.1,4,4.8,46.3,70.6,58.8,124,1289.57959183673,5,72,291,,140,180,1.3
