Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Euro Standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km]
MERCEDES-BENZ,"C-Class Estate, Model Year 2012","C 220 CDI with 16"" rear wheels ECO Start/Stop",M6,2143,Diesel,6,4,4.7,47.1,70.6,60.1,124,1261.68519134775,5,72,241,,145,165,0
MERCEDES-BENZ,"C-Class Estate, Model Year 2012","C 220 CDI with 16"" rear wheels ECO Start/Stop",A7,2143,Diesel,6.3,4.3,5.1,44.8,65.7,55.4,134,1368.72346570397,5,70,163,,160,172,0
MERCEDES-BENZ,"C-Class Estate, Model Year 2012","C 220 CDI with 17"" rear wheels ECO Start/Stop",M6,2143,Diesel,6.1,4.2,4.9,46.3,67.3,57.6,128,1316.44583333333,5,72,241,,145,165,0
MERCEDES-BENZ,"C-Class Estate, Model Year 2012","C 220 CDI with 17"" rear wheels ECO Start/Stop",A7,2143,Diesel,6.4,4.5,5.2,44.1,62.8,54.3,136,1396.45082872928,5,70,163,,160,172,0
MERCEDES-BENZ,"C-Class Estate, Model Year 2012","C 220 CDI with 18"" rear wheels ECO Start/Stop",M6,2143,Diesel,6.3,4.5,5.2,44.8,62.8,54.3,135,1396.45082872928,5,72,241,,145,165,0
MERCEDES-BENZ,"C-Class Estate, Model Year 2012","C 220 CDI with 18"" rear wheels ECO Start/Stop",A7,2143,Diesel,6.4,4.6,5.3,44.1,61.4,53.3,138,1422.65065666041,5,70,163,,160,172,0
MERCEDES-BENZ,"C-Class Estate, Model Year 2012","C 250 with 17"" rear wheels ECO Start/Stop",A7,1796,Petrol,9,5.6,6.8,31.4,50.4,41.5,159,1748.29301204819,5,73,354,56,15,,
MERCEDES-BENZ,"C-Class Estate, Model Year 2012","C 250 with 18"" rear wheels ECO Start/Stop",A7,1796,Petrol,9.1,5.7,6.9,31,49.6,40.9,162,1773.94034229829,5,73,354,56,15,,
MERCEDES-BENZ,"C-Class Estate, Model Year 2012","C 250 CDI with 17"" rear wheels ECO Start/Stop",M6,2143,Diesel,6.4,4.3,5.1,44.1,65.7,55.4,132,1368.72346570397,5,72,210,,170,183,0
MERCEDES-BENZ,"C-Class Estate, Model Year 2012","C 250 CDI with 17"" rear wheels ECO Start/Stop",A7,2143,Diesel,6.4,4.5,5.2,44.1,62.8,54.3,136,1396.45082872928,5,71,54,,146,156,0
MERCEDES-BENZ,"C-Class Estate, Model Year 2012","C 250 CDI with 18"" rear wheels ECO Start/Stop",M6,2143,Diesel,6.7,4.6,5.4,42.2,61.4,52.3,141,1449.85239005736,5,72,210,,170,183,0
MERCEDES-BENZ,"C-Class Estate, Model Year 2012","C 250 CDI with 18"" rear wheels ECO Start/Stop",A7,2143,Diesel,6.4,4.6,5.3,44.1,61.4,53.3,138,1422.65065666041,5,71,54,,146,156,0
MERCEDES-BENZ,"C-Class Estate, Model Year 2012","C 350 with 18"" rear wheels ECO Start/Stop",A7,3498,Petrol,9.9,5.8,7.3,28.5,48.7,38.7,170,1874.78449612403,5,71,118,55,20,,
MERCEDES-BENZ,"C-Class Estate, Model Year 2012","C 350 CDI with 18"" rear wheels",A7,2987,Diesel,7.4,5.4,6.2,38.2,52.3,45.6,162,1662.87894736842,5,71,359,,152,203,0
MERCEDES-BENZ,"CL Class, Model Year 2011","CL 500 with 19"" rear wheels",A7,4663,Petrol,13.6,7.3,9.6,20.8,38.7,29.4,227,2467.82857142857,5,74,404,53,35,,
MERCEDES-BENZ,"CL Class, Model Year 2011","CL 500 with 20"" rear wheels",A7,4663,Petrol,13.9,7.6,9.9,20.3,37.2,28.5,232,2545.76,5,74,403,53,35,,
MERCEDES-BENZ,"CL Class, Model Year 2011","CL 600 with 19"" rear wheels",A5,5513,Petrol,21.1,9.7,13.9,13.4,29.1,20.3,324,3574.09655172414,5,72,561,50,25,,
MERCEDES-BENZ,"CL Class, Model Year 2011","CL 600 with 20"" rear wheels",A5,5513,Petrol,21.2,9.9,14,13.3,28.5,20.2,328,3591.7900990099,5,72,561,50,25,,
MERCEDES-BENZ,"CL Class, Model Year 2011","CL 63 AMG with 19"" & 20"" rear wheels",A7,5461,Petrol,14.4,8.2,10.5,19.6,34.4,26.9,244,2697.18066914498,5,74,225,31,37,,
MERCEDES-BENZ,"CL Class, Model Year 2011","CL 65 AMG with 20"" rear wheels  ",A5,5980,Petrol,21.8,9.9,14.3,13,28.5,19.8,334,3664.35151515152,5,73,382,41,30,,
MERCEDES-BENZ,"CL Class, Model Year 2012","CL 500 with 20"" rear wheels",A7,4663,Petrol,13.9,7.6,9.9,20.3,37.2,28.5,232,2545.76,5,74,404,53,35,,
MERCEDES-BENZ,"CLC-Class, Model Year 2011","CLC 160 with 16"" rear wheels",M6,1597,Petrol,8.7,5.4,6.6,32.5,52.3,42.8,154,1695.19065420561,5,72,450,25,11,,
MERCEDES-BENZ,"CLC-Class, Model Year 2011","CLC 160 with 16"" rear wheels",A5,1597,Petrol,10.5,5.8,7.5,26.9,48.7,37.7,175,1924.51352785146,5,71,268,32,14,,
MERCEDES-BENZ,"CLC-Class, Model Year 2011","CLC 160 with 17"" rear wheels",M6,1597,Petrol,8.9,5.6,6.8,31.7,50.4,41.5,158,1748.29301204819,5,72,450,25,11,,
MERCEDES-BENZ,"CLC-Class, Model Year 2011","CLC 160 with 17"" rear wheels",A5,1597,Petrol,10.6,6,7.7,26.6,47.1,36.7,179,1976.95258855586,5,71,268,32,14,,
MERCEDES-BENZ,"CLC-Class, Model Year 2011","CLC 160 with 18"" rear wheels",M6,1597,Petrol,9.2,6,7.2,30.7,47.1,39.2,168,1850.87142857143,5,72,450,25,11,,
MERCEDES-BENZ,"CLC-Class, Model Year 2011","CLC 160 with 18"" rear wheels",A5,1597,Petrol,10.9,6.3,8,25.9,44.8,35.3,187,2055.35864022663,5,71,268,31,14,,
MERCEDES-BENZ,"CLC-Class, Model Year 2011","CLC 180 KOMPRESSOR with 17"" rear wheels",M6,1796,Petrol,9.5,5.6,7,29.7,50.4,40.4,164,1795.89504950495,5,73,302,29,13,,
MERCEDES-BENZ,"CLC-Class, Model Year 2011","CLC 180 KOMPRESSOR with 17"" rear wheels ",A5,1796,Petrol,10.9,5.9,7.8,25.9,47.9,36.2,181,2004.25856353591,5,73,340,40,11,,
MERCEDES-BENZ,"CLC-Class, Model Year 2011","CLC 180 KOMPRESSOR with 18"" rear wheels",M6,1796,Petrol,10,6,7.5,28.2,47.1,37.7,175,1924.51352785146,5,73,301,29,13,,
MERCEDES-BENZ,"CLC-Class, Model Year 2011","CLC 180 KOMPRESSOR with 18"" rear wheels  ",A5,1796,Petrol,11.4,6.4,8.2,24.8,44.1,34.4,191,2109.13255813953,5,73,340,40,11,,
MERCEDES-BENZ,"CLC-Class, Model Year 2011","CLC 200 KOMPRESSOR with 17"" rear wheels",A5,1796,Petrol,11.1,6.1,7.9,25.4,46.3,35.8,186,2026.65251396648,5,70,334,37,20,,
MERCEDES-BENZ,"CLC-Class, Model Year 2011","CLC 200 KOMPRESSOR with 18"" rear wheels",M6,1796,Petrol,10.2,6.3,7.7,27.7,44.8,36.7,180,1976.95258855586,5,73,214,23,36,,
MERCEDES-BENZ,"CLC-Class, Model Year 2011","CLC 200 KOMPRESSOR with 18"" rear wheels  ",A5,1796,Petrol,11.5,6.6,8.4,24.6,42.8,33.6,196,2159.35,5,70,334,37,20,,
MERCEDES-BENZ,"CLS-Class, Model Year 2011","CLS 350 CDI with 19"" rear wheels  ",A7,2987,Diesel,7.8,5.1,6.1,36.2,55.4,46.3,160,1637.73822894169,5,71,258,,148,185,1
MERCEDES-BENZ,"CLS-Class, Model Year 2012","CLS 250 CDI with 18"" rear wheels ECO Start/Stop",A7,2143,Diesel,6.4,4.4,5.2,44.1,64.2,54.3,135,1396.45082872928,5,71,54,,146,157,0
MERCEDES-BENZ,"CLS-Class, Model Year 2012","CLS 250 CDI with 19"" rear wheels ECO Start/Stop",A7,2143,Diesel,6.5,4.5,5.3,43.5,62.8,53.3,138,1422.65065666041,5,71,54,,146,157,0
MERCEDES-BENZ,"CLS-Class, Model Year 2012","CLS 350 with 18"" rear wheels ECO Start/Stop",A7,3498,Petrol,9.2,5.5,6.9,30.7,51.4,40.9,161,1773.94034229829,5,73,67,49,8,,
MERCEDES-BENZ,"CLS-Class, Model Year 2012","CLS 350 with 19"" rear wheels ECO Start/Stop",A7,3498,Petrol,9.5,5.6,7,29.7,50.4,40.4,164,1795.89504950495,5,73,67,49,8,,
MERCEDES-BENZ,"CLS-Class, Model Year 2012","CLS 350 CDI with 18"" rear wheels ",A7,2987,Diesel,7.8,5.1,6.1,36.2,55.4,46.3,160,1637.73822894169,5,71,258,,148,185,1
MERCEDES-BENZ,"CLS-Class, Model Year 2012","CLS 350 CDI with 19"" rear wheels",A7,2987,Diesel,7.8,5.1,6.1,36.2,55.4,46.3,160,1637.73822894169,5,71,258,,148,185,1
MERCEDES-BENZ,"CLS-Class, Model Year 2012","CLS 500 with 18"" rear wheels",A7,4663,Petrol,12.5,6.9,9,22.6,40.9,31.4,209,2310.64203821656,5,72,600,65,28,,
MERCEDES-BENZ,"CLS-Class, Model Year 2012","CLS 500 with 19"" rear wheels",A7,4663,Petrol,12.5,6.9,9,22.6,40.9,31.4,209,2310.64203821656,5,72,600,65,28,,
MERCEDES-BENZ,"CLS-Class, Model Year 2012","CLS 63 AMG with 19"" rear wheels",A7,5461,Petrol,13.9,7.6,9.9,20.3,37.2,28.5,231,2545.76,5,74,225,31,37,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 200 CGI with 16"" rear wheels",M6,1796,Petrol,10,5.7,7.3,28.2,49.6,38.7,169,1874.78449612403,5,74,254,30,25,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 200 CGI with 16"" rear wheels ECO Start Stop",M6,1796,Petrol,9.8,5.6,7.1,28.8,50.4,39.8,165,1822.96884422111,5,74,254,30,25,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 200 CGI with 16"" rear wheels",A5,1796,Petrol,10.2,6,7.5,27.7,47.1,37.7,177,1924.51352785146,5,70,261,26,29,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 200 CGI with 17"" rear wheels",M6,1796,Petrol,10.1,5.8,7.4,28,48.7,38.2,172,1899.32356020942,5,74,254,30,25,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 200 CGI with 17"" rear wheels ECO Start Stop",M6,1796,Petrol,9.9,5.7,7.2,28.5,49.6,39.2,168,1850.87142857143,5,74,254,30,25,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 200 CGI with 17"" rear wheels",A5,1796,Petrol,10.3,6.1,7.6,27.4,46.3,37.2,179,1950.38064516129,5,70,261,26,30,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 200 CGI with 18"" & 19"" rear wheels",M6,1796,Petrol,10.2,6,7.6,27.7,47.1,37.2,176,1950.38064516129,5,74,254,30,25,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 200 CGI with 18"" & 19"" rear wheels ECO Start Stop",M6,1796,Petrol,10,5.9,7.4,28.2,47.9,38.2,172,1899.32356020942,5,74,254,30,25,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 200 CGI with 18"" & 19"" rear wheels",A5,1796,Petrol,10.5,6.3,7.9,26.9,44.8,35.8,184,2026.65251396648,5,70,261,26,29,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 200 CDI with 16"" rear wheels",M6,2143,Diesel,6.6,4.4,5.2,42.8,64.2,54.3,137,1396.45082872928,5,74,216,,150,167,1
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 200 CDI with 16"" rear wheels ECO Start/Stop",M6,2143,Diesel,6.3,4.4,5.1,44.8,64.2,55.4,134,1368.72346570397,5,74,213,,164,175,0
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 200 CDI with 16"" rear wheels",A5,2143,Diesel,7,4.6,5.5,40.4,61.4,51.4,145,1475.23891050584,5,70,43,,158,169,1
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 200 CDI with 17"" rear wheels",M6,2143,Diesel,6.7,4.5,5.3,42.2,62.8,53.3,140,1422.65065666041,5,74,216,,150,167,1
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 200 CDI with 17"" rear wheels ECO Start/Stop",M6,2143,Diesel,6.4,4.5,5.2,44.1,62.8,54.3,136,1396.45082872928,5,74,213,,164,175,0
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 200 CDI with 17"" rear wheels",A5,2143,Diesel,7.2,4.8,5.7,39.2,58.9,49.6,149,1528.77580645161,5,70,43,,158,169,1
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 200 CDI with 18"" & 19"" rear wheels",M6,2143,Diesel,6.8,4.7,5.5,41.5,60.1,51.4,145,1475.23891050584,5,74,216,,150,167,1
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 200 CDI with 18"" & 19"" rear wheels ECO Start Stop",M6,2143,Diesel,6.5,4.7,5.4,43.5,60.1,52.3,141,1449.85239005736,5,74,213,,164,175,0
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 200 CDI with 18"" & 19"" rear wheels",A5,2143,Diesel,7.4,5,5.9,38.2,56.5,47.9,153,1583.03298538622,5,70,43,,158,169,1
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 220 CDI with 16"" rear wheels",M6,2143,Diesel,6.9,4.4,5.3,40.9,64.2,53.3,139,1422.65065666041,5,74,175,,157,173,1
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 220 CDI with 16"" rear wheels",A5,2143,Diesel,7.8,4.4,5.8,36.2,64.2,48.7,154,1557.02833675565,5,71,134,,152,165,1
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 220 CDI with 17"" rear wheels",M6,2143,Diesel,7,4.5,5.4,40.4,62.8,52.3,142,1449.85239005736,5,74,175,,157,173,1
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 220 CDI with 17"" rear wheels",A5,2143,Diesel,7.9,4.5,5.9,35.8,62.8,47.9,156,1583.03298538622,5,71,134,,152,165,1
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 220 CDI with 18"" & 19"" rear wheels",M6,2143,Diesel,7,4.6,5.5,40.4,61.4,51.4,144,1475.23891050584,5,74,175,,157,173,1
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 220 CDI with 18"" & 19"" rear wheels",A5,2143,Diesel,8,4.7,6,35.3,60.1,47.1,159,1609.92101910828,5,71,134,,152,165,1
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 250 CGI with 16"" rear wheels",A5,1796,Petrol,10.3,6.1,7.6,27.4,46.3,37.2,179,1950.38064516129,5,71,261,26,29,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 250 CGI with 16"" rear wheels ECO Start/Stop",A7,1796,Petrol,8.9,5.3,6.6,31.7,53.3,42.8,154,1695.19065420561,5,70,255,48,19,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 250 CGI with 17"" rear wheels",A5,1796,Petrol,10.4,6.2,7.7,27.2,45.6,36.7,181,1976.95258855586,5,71,261,26,29,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 250 CGI with 17"" rear wheels ECO Start/Stop",A7,1796,Petrol,9,5.4,6.7,31.4,52.3,42.2,157,1719.29289099526,5,70,255,48,19,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 250 CGI with 18"" & 19"" rear wheels",A5,1796,Petrol,10.6,6.4,8,26.6,44.1,35.3,187,2055.35864022663,5,71,261,26,29,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 250 CGI with 18"" & 19"" rear wheels ECO Start/Stop",A7,1796,Petrol,9.2,5.7,7,30.7,49.6,40.4,162,1795.89504950495,5,70,255,48,19,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 250 CDI with 16"" rear wheels",M6,2143,Diesel,6.9,4.4,5.3,40.9,64.2,53.3,139,1422.65065666041,5,73,175,,157,173,1
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 250 CDI with 16"" rear wheels",A5,2143,Diesel,7.8,4.4,5.8,36.2,64.2,48.7,154,1557.02833675565,5,71,134,,152,165,1
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 250 CDI with 16"" rear wheels ECO Start/Stop",A7,2143,Diesel,6.2,4.2,4.9,45.6,67.3,57.6,129,1316.44583333333,5,71,54,,146,157,0
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 250 CDI with 17"" rear wheels",M6,2143,Diesel,7,4.5,5.4,40.4,62.8,52.3,142,1449.85239005736,5,73,175,,157,173,1
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 250 CDI with 17"" rear wheels",A5,2143,Diesel,7.9,4.5,5.9,35.8,62.8,47.9,156,1583.03298538622,5,71,134,,152,165,1
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 250 CDI with 17"" rear wheels ECO Start/Stop",A7,2143,Diesel,6.3,4.3,5,44.8,65.7,56.5,132,1342.07575221239,5,71,54,,146,157,0
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 250 CDI with 18"" & 19"" rear wheels",M6,2143,Diesel,7,4.6,5.5,40.4,61.4,51.4,144,1475.23891050584,5,73,175,,157,173,1
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 250 CDI with 18"" & 19"" rear wheels",A5,2143,Diesel,8,4.7,6,35.3,60.1,47.1,159,1609.92101910828,5,71,134,,152,165,1
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 250 CDI with 18"" & 19"" rear wheels ECO Start/Stop",M6,2143,Diesel,6.6,4.6,5.3,42.8,61.4,53.3,139,1422.65065666041,5,73,210,,170,183,0
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 250 CDI with 18"" & 19"" rear wheels ECO Start/Stop",A7,2143,Diesel,6.6,4.5,5.3,42.8,62.8,53.3,138,1422.65065666041,5,71,54,,145,157,0
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 350 CGI with 17"" rear wheels",A7,3498,Petrol,12.5,6.4,8.6,22.6,44.1,32.8,201,2212.01707317073,5,70,125,70,25,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 350 CGI with 18"" & 19"" rear wheels",A7,3498,Petrol,12.5,6.6,8.8,22.6,42.8,32.1,205,2260.25420560748,5,70,125,70,25,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 350 CDI with 17"" rear wheels",A7,2987,Diesel,7.9,5.2,6.2,35.8,54.3,45.6,162,1662.87894736842,5,72,258,,148,185,1
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 350 CDI with 18"" & 19"" rear wheels",A7,2987,Diesel,8.3,5.4,6.4,34,52.3,44.1,168,1719.43945578231,5,72,258,,148,185,1
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 500 with 17"" rear wheels",A7,5461,Petrol,16.2,7.7,10.8,17.4,36.7,26.2,253,2769.2427480916,5,72,331,42,22,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 500 with 18"" & 19"" rear wheels",A7,5461,Petrol,16.7,8,11.2,16.9,35.3,25.2,261,2879.13333333333,5,72,331,42,22,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2011","E 63 AMG with 18"" & 19"" rear wheels",A7,6208,Petrol,18.7,9.1,12.6,15.1,31,22.4,295,3239.025,5,74,587,42,38,,
MERCEDES-BENZ,"E-Class Coupé, Model Year 2011","E 200 CGI with 17"" rear wheels",M6,1796,Petrol,9.9,5.7,7.3,28.5,49.6,38.7,168,1874.78449612403,5,72,254,30,25,,
MERCEDES-BENZ,"E-Class Coupé, Model Year 2011","E 200 CGI with 17"" rear wheels",A5,1796,Petrol,10.6,5.9,7.7,26.6,47.9,36.7,179,1976.95258855586,5,70,258,29,31,,
MERCEDES-BENZ,"E-Class Coupé, Model Year 2011","E 200 CGI with 18"" & 19"" rear wheels",A5,1796,Petrol,10.7,6.1,7.8,26.4,46.3,36.2,182,2004.25856353591,5,70,258,29,31,,
MERCEDES-BENZ,"E-Class Coupé, Model Year 2011","E 200 CGI with 18"" & 19"" rear wheels",M6,1796,Petrol,9.9,5.9,7.4,28.5,47.9,38.2,171,1899.32356020942,5,72,254,30,25,,
MERCEDES-BENZ,"E-Class Coupé, Model Year 2011","E 220 CDI with 17"" rear wheels",M6,2143,Diesel,6.7,4.4,5.3,42.2,64.2,53.3,139,1422.65065666041,5,72,197,,161,177,0
MERCEDES-BENZ,"E-Class Coupé, Model Year 2011","E 220 CDI with 17"" rear wheels",A5,2143,Diesel,8.2,4.5,5.9,34.4,62.8,47.9,155,1583.03298538622,5,71,98,,151,159,0
MERCEDES-BENZ,"E-Class Coupé, Model Year 2011","E 220 CDI with 18"" & 19"" rear wheels",M6,2143,Diesel,6.8,4.6,5.4,41.5,61.4,52.3,142,1449.85239005736,5,72,197,,161,177,0
MERCEDES-BENZ,"E-Class Coupé, Model Year 2011","E 220 CDI with 18"" & 19"" rear wheels",A5,2143,Diesel,8.3,4.7,6,34,60.1,47.1,158,1609.92101910828,5,71,98,,151,159,0
MERCEDES-BENZ,"E-Class Coupé, Model Year 2011","E 250 CGI with 17"" rear wheels",A5,1796,Petrol,10.9,6,7.8,25.9,47.1,36.2,180,2004.25856353591,5,70,258,29,31,,
MERCEDES-BENZ,"E-Class Coupé, Model Year 2011","E 250 CGI with 18"" & 19"" rear wheels",A5,1796,Petrol,10.8,6.2,7.9,26.2,45.6,35.8,183,2026.65251396648,5,70,258,29,31,,
MERCEDES-BENZ,"E-Class Coupé, Model Year 2011","E 250 CDI with 17"" rear wheels",M6,2143,Diesel,7,4.5,5.4,40.4,52.8,52.3,143,1449.85239005736,5,72,175,,157,173,1
MERCEDES-BENZ,"E-Class Coupé, Model Year 2011","E 250 CDI with 17"" rear wheels",A5,2143,Diesel,8.2,4.5,5.9,34.4,62.8,47.9,155,1583.03298538622,5,70,134,,152,165,1
MERCEDES-BENZ,"E-Class Coupé, Model Year 2011","E 250 CDI with 18"" & 19"" rear wheels",M6,2143,Diesel,7.1,4.7,5.6,39.8,60.1,50.4,148,1504.50952380952,5,72,175,,157,173,1
MERCEDES-BENZ,"E-Class Coupé, Model Year 2011","E 250 CDI with 18"" & 19"" rear wheels",A5,2143,Diesel,8.3,4.7,6,34,60.1,47.1,158,1609.92101910828,5,70,134,,152,165,1
MERCEDES-BENZ,"E-Class Coupé, Model Year 2011","E 350 CGI with 17"" rear wheels",A7,3498,Petrol,12.3,6.4,8.6,23,44.1,32.8,200,2212.01707317073,5,71,50,63,9,,
MERCEDES-BENZ,"E-Class Coupé, Model Year 2011","E 350 CGI with 18"" & 19"" rear wheels",A7,3498,Petrol,12.4,6.6,8.7,22.8,42.8,32.5,203,2232.43569230769,5,71,50,63,9,,
MERCEDES-BENZ,"E-Class Coupé, Model Year 2011","E 350 CDI with 17"", 18"" & 19"" rear wheels",A7,2987,Diesel,8.9,5.6,6.8,31.7,50.4,41.5,179,1827.16337349398,5,70,271,,132,190,2
MERCEDES-BENZ,"E-Class Coupé, Model Year 2011","E 500 with 17"", 18"" & 19"" rear wheels",A7,5461,Petrol,16.1,7.8,10.9,17.5,36.2,25.9,254,2801.31891891892,5,74,242,21,18,,
MERCEDES-BENZ,"E-Class Coupé, Model Year 2012","E 200 CGI with 17"" rear wheels ECO Start/Stop",M6,1796,Petrol,9.7,5.6,7.1,29.1,50.4,39.8,164,1822.96884422111,5,72,254,30,25,,
MERCEDES-BENZ,"E-Class Coupé, Model Year 2012","E 200 CGI with 18"" & 19"" rear wheels ECO Start/Stop",M6,1796,Petrol,9.7,5.8,7.2,29.1,48.7,39.2,167,1850.87142857143,5,72,254,30,25,,
MERCEDES-BENZ,"E-Class Coupé, Model Year 2012","E 220 CDI with 17"" rear wheels ECO Start Stop",A7,2143,Diesel,6.5,4.3,5.1,43.5,65.7,55.4,134,1368.72346570397,5,70,54,,146,156,0
MERCEDES-BENZ,"E-Class Coupé, Model Year 2012","E 220 CDI with 18"" & 19""  rear wheels ECO Start Stop",A7,2143,Diesel,6.6,4.5,5.3,42.8,62.8,53.3,138,1422.65065666041,5,70,54,,146,156,0
MERCEDES-BENZ,"E-Class Cabriolet, Model Year 2011","E 200 CGI with 17"" rear wheels",M6,1796,Petrol,10.1,5.8,7.4,28,48.7,38.2,172,1899.32356020942,5,72,254,30,25,,
MERCEDES-BENZ,"E-Class Cabriolet, Model Year 2011","E 200 CGI with 17"" rear wheels ECO Start/Stop",M6,1796,Petrol,9.9,5.7,7.2,28.5,49.6,39.2,168,1850.87142857143,5,72,254,30,25,,
MERCEDES-BENZ,"E-Class Cabriolet, Model Year 2011","E 200 CGI with 17"" rear wheels",A5,1796,Petrol,11,6.1,7.9,25.7,46.3,35.8,185,2026.65251396648,5,70,258,29,31,,
MERCEDES-BENZ,"E-Class Cabriolet, Model Year 2011","E 200 CGI with 18"" & 19"" rear wheels",M6,1796,Petrol,10.3,6.1,7.6,27.4,46.3,37.2,177,1950.38064516129,5,72,254,30,25,,
MERCEDES-BENZ,"E-Class Cabriolet, Model Year 2011","E 200 CGI with 18"" & 19"" rear wheels ECO Start/Stop",M6,1796,Petrol,10.1,6,7.4,28,47.1,38.2,173,1899.32356020942,5,72,254,30,25,,
MERCEDES-BENZ,"E-Class Cabriolet, Model Year 2011","E 200 CGI with 18"" & 19"" rear wheels",A5,1796,Petrol,11.2,6.4,8.2,25.2,44.1,34.4,190,2109.13255813953,5,70,258,29,31,,
MERCEDES-BENZ,"E-Class Cabriolet, Model Year 2011","E 220 CDI with 17"" rear wheels",M6,2143,Diesel,6.9,4.6,5.4,40.9,61.4,52.3,143,1449.85239005736,5,72,197,,161,177,0
MERCEDES-BENZ,"E-Class Cabriolet, Model Year 2011","E 220 CDI with 17"" rear wheels",A5,2143,Diesel,8.3,4.7,6.1,34,60.1,46.3,159,1637.73822894169,5,71,98,,151,159,0
MERCEDES-BENZ,"E-Class Cabriolet, Model Year 2011","E 220 CDI with 18"" & 19"" rear wheels",M6,2143,Diesel,7,4.8,5.6,40.4,58.9,50.4,148,1504.50952380952,5,72,197,,161,177,0
MERCEDES-BENZ,"E-Class Cabriolet, Model Year 2011","E 220 CDI with 18"" & 19"" rear wheels",A5,2143,Diesel,8.5,5,6.3,33.2,56.5,44.8,165,1692.57321428571,5,71,98,,151,159,0
MERCEDES-BENZ,"E-Class Cabriolet, Model Year 2011","E 250 CGI with 17"" rear wheels",A5,1796,Petrol,11,6.1,7.9,25.7,46.3,35.8,185,2026.65251396648,5,70,258,29,31,,
MERCEDES-BENZ,"E-Class Cabriolet, Model Year 2011","E 250 CGI with 18"" & 19"" rear wheels",A5,1796,Petrol,11.2,6.4,8.2,25.2,44.1,34.4,190,2109.13255813953,5,70,258,29,31,,
MERCEDES-BENZ,"E-Class Cabriolet, Model Year 2011","E 250 CDI with 17"" rear wheels",M6,2143,Diesel,7.3,4.7,5.6,38.7,60.1,50.4,148,1504.50952380952,5,72,241,,155,179,1
MERCEDES-BENZ,"E-Class Cabriolet, Model Year 2011","E 250 CDI with 17"" rear wheels",A5,2143,Diesel,8.3,4.7,6.1,34,60.1,46.3,159,1637.73822894169,5,70,98,,151,159,0
