Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Electric energy consumption Miles/kWh,wh/km,Maximum range (Km),Maximum range (Miles),Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Electricity cost,Total cost / 12000 miles,Euro Standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],,,,,,,,,,
FIAT,"Panda, From February 2012",1.3 16v MultiJet 75 bhp,M5,1248,Diesel,,,,,4.7,3.5,3.9,60.1,80.7,72.4,103,£889,,£889,V,72.7,375,,157,208,0.40,,,,,,,,,,
FIAT,"Panda, From February 2012",1.3 16v MultiJet 75 bhp 4x4,M5,1248,Diesel,,,,,4.9,4.6,4.7,57.6,61.4,60.1,124,"£1,071",,"£1,071",V,73.4,227,,155,180,0.70,,,,,,,,,,
FIAT,"Panda, From February 2012",1.3 16v MultiJet 75 bhp Trekking,M5,1248,Diesel,,,,,4.7,3.8,4.1,60.1,74.3,68.9,108,£934,,£934,V,73.5,204,,160,183,0.40,,,,,,,,,,
FIAT,"Panda, From February 2012",1.3 16v Multijet 80 bhp - Cross,M5,1248,Diesel,,,,,5.0,4.6,4.7,56.5,61.4,60.1,125,"£1,071",,"£1,071",V,73.0,202,,141,165,0.50,,,,,,,,,,
FIAT,"Panda, From February 2012",1.3 MultiJet 80 bhp Cross (2015),M5,1248,Diesel,,,,,4.9,4.6,4.7,57.6,61.4,60.1,124,"£1,071",,"£1,071",V,73.0,202,,141,165,0.50,,,,,,,,,,
FIAT,"Qubo, 2012 onwards",1.3 16v MultiJet 75,M5,1248,Diesel,,,,,4.9,3.6,4.1,57.6,78.5,68.9,107,£934,,£934,V,74.0,219,,173,194,0.30,,,,,,,,,,
FIAT,"Qubo, 2012 onwards",1.3 16v MultiJet 75 Dualogic,SAT5,1248,Diesel,,,,,4.8,3.7,4.1,58.9,76.3,68.9,107,£934,,£934,V,74.5,223,,157,188,0.40,,,,,,,,,,
FIAT,"Qubo, 2012 onwards",1.3 16v MultiJet 95,M5,1248,Diesel,,,,,4.9,3.6,4.1,57.6,78.5,68.9,107,£934,,£934,V,75.0,293,,170,203,0.70,,,,,,,,,,
FIAT,"Qubo, 2012 onwards",1.3 16v Multijet 95 Trekking,M5,1248,Diesel,,,,,4.9,3.6,4.1,57.6,78.5,68.9,107,£934,,£934,V,75.0,293,,170,203,0.70,,,,,,,,,,
FIAT,"Scudo, 2012 onwards",Combi and Panorama 2.0 MultiJet 130 bhp,M6,1997,Diesel,,,,,8.2,6.3,7.0,34.4,44.8,40.4,183,"£1,593",,"£1,593",V,73.1,351,,188,230,1.00,,,,,,,,,,
FIAT,"Scudo, 2012 onwards",Combi and Panorama 2.0 MultiJet 165 bhp,M6,1997,Diesel,,,,,8.2,6.3,7.0,34.4,44.8,40.4,183,"£1,593",,"£1,593",V,75.0,518,,236,286,1.10,,,,,,,,,,
FORD,"All New Focus , Model Year Post 2015½",1.6 Duratorq TDCi (115PS) With Stop/Start - 5 Door,M6,1560,Diesel,,,,,5.1,3.7,4.2,55.4,76.3,67.3,109,£956,,£956,V,69.0,189,,165,185,0.60,,,,,,,,,,
FORD,"All New Focus , Model Year Post 2015½",1.6 Duratorq TDCi (115PS) With Stop/Start - Estate,M6,1560,Diesel,,,,,5.1,3.7,4.2,55.4,76.3,67.3,109,£956,,£956,V,69.0,189,,165,185,0.60,,,,,,,,,,
FORD,"All New Focus , Model Year Post 2015½",1.6 Duratorq TDCi (95PS) With Stop/Start - 5 Door,M6,1560,Diesel,,,,,5.1,3.7,4.2,55.4,76.3,67.3,109,£956,,£956,V,69.0,189,,165,185,0.60,,,,,,,,,,
FORD,"All New Focus , Model Year Post 2015½",1.6 Duratorq TDCi (95PS) With Stop/Start - Estate,M6,1560,Diesel,,,,,5.1,3.7,4.2,55.4,76.3,67.3,109,£956,,£956,V,69.0,189,,165,185,0.60,,,,,,,,,,
FORD,"All New Focus , Model Year Pre 2015½",1.6 Duratorq TDCi (115PS) With Stop/Start - 5 Door,M6,1560,Diesel,,,,,5.1,3.7,4.2,55.4,76.3,67.3,109,£956,,£956,V,69.0,189,,165,185,0.60,,,,,,,,,,
FORD,"All New Focus , Model Year Pre 2015½",1.6 Duratorq TDCi (115PS) With Stop/Start - Estate,M6,1560,Diesel,,,,,5.1,3.7,4.2,55.4,76.3,67.3,109,£956,,£956,V,69.0,189,,165,185,0.60,,,,,,,,,,
FORD,"All New Focus , Model Year Pre 2015½",1.6 Duratorq TDCi (95PS) With Stop/Start - 5 Door,M6,1560,Diesel,,,,,5.1,3.7,4.2,55.4,76.3,67.3,109,£956,,£956,V,69.0,189,,165,185,0.60,,,,,,,,,,
FORD,"All New Focus , Model Year Pre 2015½",1.6 Duratorq TDCi (95PS) With Stop/Start - Estate,M6,1560,Diesel,,,,,5.1,3.7,4.2,55.4,76.3,67.3,109,£956,,£956,V,69.0,189,,165,185,0.60,,,,,,,,,,
FORD,"All New Mondeo, Model Year Pre 2015¾",1.6 Duratorq TDCi ECOnetic + DPF (115PS) - Estate,M6,1560,Diesel,,,,,4.2,3.5,3.8,67.3,80.7,74.3,99,£866,,£866,V,67.0,229,,141,173,0.60,,,,,,,,,,
FORD,"All New Mondeo, Model Year Pre 2015¾",1.6 Duratorq TDCi ECOnetic + DPF (115PS) - Hatchback,M6,1560,Diesel,,,,,4.1,3.3,3.6,68.9,85.6,78.5,94,£820,,£820,V,67.0,229,,141,173,0.60,,,,,,,,,,
FORD,"B-MAX, Model Year Post 2013½",1.0 EcoBoost (100PS),M5,998,Petrol,,,,,6.6,4.3,5.1,42.8,65.7,55.4,119,"£1,103",,"£1,103",V,71.0,604,71,47,,,,,,,,,,,,
FORD,"B-MAX, Model Year Post 2013½",1.0 EcoBoost Stop-Start (125PS),M5,998,Petrol,,,,,6.0,4.2,4.9,47.1,67.3,57.6,114,"£1,061",,"£1,061",V,71.0,611,74,46,,,,,,,,,,,,
FORD,"B-MAX, Model Year Post 2013½",1.4 Duratec (90PS),M5,1388,Petrol,,,,,7.9,4.9,6.0,35.8,57.6,47.1,139,"£1,297",,"£1,297",V,70.0,472,52,50,,,,,,,,,,,,
FORD,"B-MAX, Model Year Post 2013½",1.5 Duratorq TDCi (75PS),M5,1499,Diesel,,,,,4.8,3.8,4.1,58.9,74.3,68.9,109,£934,,£934,V,68.0,228,,122,141,0.40,,,,,,,,,,
FORD,"B-MAX, Model Year Post 2013½",1.6 Duratec Ti-VCT (105PS),A6,1596,Petrol,,,,,8.6,5.1,6.4,32.8,55.4,44.1,149,"£1,385",,"£1,385",V,74.0,301,57,24,,,,,,,,,,,,
FORD,"B-MAX, Model Year Post 2013½",1.6 Duratorq TDCi (95PS) (+DPF),M5,1560,Diesel,,,,,4.7,3.6,4.0,60.1,78.5,70.6,104,£912,,£912,V,69.0,306,,145,167,0.40,,,,,,,,,,
FORD,"B-MAX, Model Year Pre 2013½",1.0 EcoBoost (100PS),M5,998,Petrol,,,,,6.6,4.3,5.1,42.8,65.7,55.4,119,"£1,103",,"£1,103",V,71.0,604,71,47,,,,,,,,,,,,
FORD,"B-MAX, Model Year Pre 2013½",1.0 EcoBoost Stop-Start (120PS),M5,998,Petrol,,,,,6.0,4.2,4.9,47.1,67.3,57.6,114,"£1,061",,"£1,061",V,71.0,611,74,46,,,,,,,,,,,,
FORD,"B-MAX, Model Year Pre 2013½",1.4 Duratec (90PS),M5,1388,Petrol,,,,,7.9,4.9,6.0,35.8,57.6,47.1,139,"£1,297",,"£1,297",V,70.0,472,52,50,,,,,,,,,,,,
FORD,"B-MAX, Model Year Pre 2013½",1.5 Duratorq TDCi (75PS),M5,1499,Diesel,,,,,4.8,3.8,4.1,58.9,74.3,68.9,109,£934,,£934,V,68.0,228,,122,141,0.40,,,,,,,,,,
FORD,"B-MAX, Model Year Pre 2013½",1.6 Duratec Ti-VCT (105PS),A6,1596,Petrol,,,,,8.6,5.1,6.4,32.8,55.4,44.1,149,"£1,385",,"£1,385",V,74.0,301,57,24,,,,,,,,,,,,
FORD,"B-MAX, Model Year Pre 2013½",1.6 Duratorq TDCi (95PS) (+DPF),M5,1560,Diesel,,,,,4.7,3.6,4.0,60.1,78.5,70.6,104,£912,,£912,V,69.0,306,,145,167,0.40,,,,,,,,,,
FORD,"C-MAX, Model Year Post 2014¾",1.0 EcoBoost (100PS) Stop-Start,M6,998,Petrol,,,,,6.3,4.5,5.1,44.8,62.8,55.4,117,"£1,103",,"£1,103",V,66.0,627,70,37,,,,,,,,,,,,
FORD,"C-MAX, Model Year Post 2014¾",1.0 EcoBoost (125PS) Stop-Start,M6,998,Petrol,,,,,6.3,4.5,5.1,44.8,62.8,55.4,117,"£1,103",,"£1,103",V,66.0,627,70,37,,,,,,,,,,,,
FORD,"C-MAX, Model Year Post 2014¾",1.6 Duratec Ti-VCT (105PS),M5,1596,Petrol,,,,,8.4,5.2,6.4,33.6,54.3,44.1,149,"£1,385",,"£1,385",V,70.0,435,61,41,,,,,,,,,,,,
FORD,"C-MAX, Model Year Post 2014¾",1.6 Duratorq TDCi (115PS) (+DPF),M6,1560,Diesel,,,,,5.4,4.0,4.5,53.3,70.6,62.8,117,"£1,025",,"£1,025",V,68.0,189,,165,185,0.60,,,,,,,,,,
FORD,"C-MAX, Model Year Post 2014¾",1.6 EcoBoost Stop-Start (150PS),M6,1596,Petrol,,,,,7.8,5.3,6.2,36.2,53.3,45.6,144,"£1,340",,"£1,340",V,69.0,340,56,34,,,,,,,,,,,,
FORD,"C-MAX, Model Year Post 2014¾",1.6 EcoBoost Stop-Start (182PS),M6,1596,Petrol,,,,,7.8,5.3,6.2,36.2,53.3,45.6,144,"£1,340",,"£1,340",V,69.0,340,56,34,,,,,,,,,,,,
FORD,"C-MAX, Model Year Post 2014¾",2.0 Duratorq TDCi (140PS) (+DPF),A6,1997,Diesel,,,,,6.9,4.7,5.5,40.9,60.1,51.4,144,"£1,252",,"£1,252",V,69.0,247,,145,168,0.40,,,,,,,,,,
FORD,"C-MAX, Model Year Post 2014¾",2.0 Duratorq TDCi (140PS) (+DPF),M6,1997,Diesel,,,,,6.1,4.2,4.9,46.3,67.3,57.6,129,"£1,118",,"£1,118",V,71.0,340,,174,207,0.40,,,,,,,,,,
FORD,"C-MAX, Model Year Post 2014¾",2.0 Duratorq TDCi (163PS) (+DPF),A6,1997,Diesel,,,,,6.9,4.7,5.5,40.9,60.1,51.4,144,"£1,252",,"£1,252",V,69.0,247,,145,168,0.40,,,,,,,,,,
FORD,"C-MAX, Model Year Post 2014¾",2.0 Duratorq TDCi (163PS) (+DPF),M6,1997,Diesel,,,,,6.1,4.2,4.9,46.3,67.3,57.6,129,"£1,118",,"£1,118",V,71.0,340,,174,207,0.40,,,,,,,,,,
FORD,"C-MAX, Model Year Pre 2014¾",1.0 EcoBoost (100PS) Stop-Start,M6,998,Petrol,,,,,6.3,4.5,5.1,44.8,62.8,55.4,117,"£1,103",,"£1,103",V,66.0,627,70,37,,,,,,,,,,,,
FORD,"C-MAX, Model Year Pre 2014¾",1.0 EcoBoost (125PS) Stop-Start,M6,998,Petrol,,,,,6.3,4.5,5.1,44.8,62.8,55.4,117,"£1,103",,"£1,103",V,66.0,627,70,37,,,,,,,,,,,,
FORD,"C-MAX, Model Year Pre 2014¾",1.6 Duratec Ti-VCT (105PS),M5,1596,Petrol,,,,,8.4,5.2,6.4,33.6,54.3,44.1,149,"£1,385",,"£1,385",V,70.0,435,61,41,,,,,,,,,,,,
FORD,"C-MAX, Model Year Pre 2014¾",1.6 Duratorq TDCi (115PS) (+DPF),M6,1560,Diesel,,,,,5.3,4.0,4.5,53.3,70.6,62.8,117,"£1,025",,"£1,025",V,68.0,357,,167,187,0.50,,,,,,,,,,
FORD,"C-MAX, Model Year Pre 2014¾",1.6 EcoBoost Stop-Start (150PS),M6,1596,Petrol,,,,,7.8,5.3,6.2,36.2,53.3,45.6,144,"£1,340",,"£1,340",V,69.0,340,56,34,,,,,,,,,,,,
FORD,"C-MAX, Model Year Pre 2014¾",1.6 EcoBoost Stop-Start (182PS),M6,1596,Petrol,,,,,7.8,5.3,6.2,36.2,53.3,45.6,144,"£1,340",,"£1,340",V,69.0,340,56,34,,,,,,,,,,,,
FORD,"C-MAX, Model Year Pre 2014¾",2.0 Duratorq TDCi (140PS) (+DPF),A6,1997,Diesel,,,,,6.9,4.7,5.5,40.9,60.1,51.4,144,"£1,252",,"£1,252",V,69.0,247,,145,168,0.40,,,,,,,,,,
FORD,"C-MAX, Model Year Pre 2014¾",2.0 Duratorq TDCi (140PS) (+DPF),M6,1997,Diesel,,,,,6.1,4.2,4.9,46.3,67.3,57.6,129,"£1,118",,"£1,118",V,71.0,340,,174,207,0.40,,,,,,,,,,
FORD,"C-MAX, Model Year Pre 2014¾",2.0 Duratorq TDCi (163PS) (+DPF),A6,1997,Diesel,,,,,6.9,4.7,5.5,40.9,60.1,51.4,144,"£1,252",,"£1,252",V,69.0,247,,145,168,0.40,,,,,,,,,,
FORD,"C-MAX, Model Year Pre 2014¾",2.0 Duratorq TDCi (163PS) (+DPF),M6,1997,Diesel,,,,,6.1,4.2,4.9,46.3,67.3,57.6,129,"£1,118",,"£1,118",V,71.0,340,,174,207,0.40,,,,,,,,,,
FORD,"EcoSport, Model Year Post 2015¾",1.5 Duratec (112PS),A6,1498,Petrol,,,,,7.9,5.3,6.3,35.8,53.3,44.8,149,"£1,364",,"£1,364",V,71.0,298,34,37,,,,,,,,,,,,
FORD,"EcoSport, Model Year Post 2015¾",1.5 Duratec (112PS),M5,1498,Petrol,,,,,8.1,5.2,6.3,34.9,54.3,44.8,149,"£1,364",,"£1,364",V,73.0,408,39,20,,,,,,,,,,,,
FORD,"EcoSport, Model Year Post 2015¾",1.5 Duratorq TDCi (91PS) +DPF,M5,1499,Diesel,,,,,4.9,4.4,4.6,57.6,64.2,61.4,120,"£1,048",,"£1,048",V,69.0,202,,164,181,0.70,,,,,,,,,,
FORD,"EcoSport, Model Year Pre 2015¾",1.0 EcoBoost (125PS) Stop-Start,M5,998,Petrol,,,,,6.6,4.7,5.3,42.8,60.1,53.3,125,"£1,146",,"£1,146",V,70.0,343,65,39,,,,,,,,,,,,
FORD,"EcoSport, Model Year Pre 2015¾",1.5 Duratec (112PS),A6,1498,Petrol,,,,,7.9,5.3,6.3,35.8,53.3,44.8,149,"£1,364",,"£1,364",V,71.0,298,34,37,,,,,,,,,,,,
FORD,"EcoSport, Model Year Pre 2015¾",1.5 Duratec (112PS),M5,1498,Petrol,,,,,8.1,5.2,6.3,34.9,54.3,44.8,149,"£1,364",,"£1,364",V,73.0,408,39,20,,,,,,,,,,,,
FORD,"EcoSport, Model Year Pre 2015¾",1.5 Duratorq TDCi (91PS) +DPF,M5,1499,Diesel,,,,,4.9,4.4,4.6,57.6,64.2,61.4,120,"£1,048",,"£1,048",V,69.0,202,,164,181,0.70,,,,,,,,,,
FORD,"Fiesta , Model Year Pre 2015¾",1.5 Duratorq TDCi (75PS),M5,1499,Diesel,,,,,4.4,3.3,3.7,64.2,85.6,76.3,98,£844,,£844,V,69.0,296,,113,142,0.50,,,,,,,,,,
FORD,"Fiesta , Model Year Pre 2015¾",1.6 Duratorq TDCi (95PS),M5,1560,Diesel,,,,,4.4,3.2,3.6,64.2,88.3,78.5,95,£820,,£820,V,70.0,437,,150,186,0.60,,,,,,,,,,
FORD,"Fiesta , Model Year Pre 2015¾",1.6 Duratorq TDCi ECOnetic (95PS) Stop-Start,M5,1560,Diesel,,,,,3.7,3.1,3.3,76.3,91.1,85.6,85,£752,,£752,V,72.0,423,,134,164,0.50,,,,,,,,,,
FORD,"Galaxy, Model Year Post 2015",1.6 Duratec EcoBoost (160PS) Stop-Start,M6,1596,Petrol,,,,,9.1,6.1,7.2,31.0,46.3,39.2,167,"£1,559",,"£1,559",V,69.0,413,38,16,,,,,,,,,,,,
FORD,"Galaxy, Model Year Post 2015",1.6 Duratorq (115PS) Stop-Start (+DPF),M6,1560,Diesel,,,,,5.9,4.9,5.2,47.9,57.6,54.3,139,"£1,185",,"£1,185",V,68.0,200,,166,185,0.40,,,,,,,,,,
FORD,"Galaxy, Model Year Post 2015",2.0 Duratec EcoBoost (203PS),A6,1999,Petrol,,,,,11.0,6.4,8.1,25.7,44.1,34.9,189,"£1,751",,"£1,751",V,72.0,731,72,33,,,,,,,,,,,,
FORD,"Galaxy, Model Year Post 2015",2.0 Duratorq (140PS) (+DPF),A6,1997,Diesel,,,,,6.8,5.0,5.7,41.5,56.5,49.6,149,"£1,298",,"£1,298",V,68.0,298,,175,202,0.50,,,,,,,,,,
FORD,"Galaxy, Model Year Post 2015",2.0 Duratorq (140PS) (+DPF),M6,1997,Diesel,,,,,6.5,4.7,5.3,43.5,60.1,53.3,139,"£1,208",,"£1,208",V,70.0,357,,172,227,0.20,,,,,,,,,,
FORD,"Galaxy, Model Year Post 2015",2.0 Duratorq (163PS) (+DPF),A6,1997,Diesel,,,,,6.8,5.0,5.7,41.5,56.5,49.6,149,"£1,298",,"£1,298",V,68.0,298,,175,202,0.50,,,,,,,,,,
FORD,"Galaxy, Model Year Post 2015",2.0 Duratorq (163PS) (+DPF),M6,1997,Diesel,,,,,6.5,4.7,5.3,43.5,60.1,53.3,139,"£1,208",,"£1,208",V,70.0,357,,172,227,0.20,,,,,,,,,,
FORD,"Galaxy, Model Year Post 2015",2.2 Duratorq (200PS) (+DPF),A6,2179,Diesel,,,,,9.4,5.8,7.1,30.1,48.7,39.8,189,"£1,617",,"£1,617",V,68.0,240,,170,203,0.40,,,,,,,,,,
FORD,"Galaxy, Model Year Post 2015",2.2 Duratorq (200PS) (+DPF),M6,2179,Diesel,,,,,8.4,5.8,6.8,33.6,48.7,41.5,179,"£1,551",,"£1,551",V,69.0,300,,155,200,0.20,,,,,,,,,,
FORD,"Galaxy, Model Year Pre 2015",1.6 Duratec EcoBoost (160PS) Stop-Start,M6,1596,Petrol,,,,,9.1,6.1,7.2,31.0,46.3,39.2,167,"£1,559",,"£1,559",V,69.0,413,38,16,,,,,,,,,,,,
FORD,"Galaxy, Model Year Pre 2015",1.6 Duratorq (115PS) Stop-Start (+DPF),M6,1560,Diesel,,,,,5.9,4.9,5.2,47.9,57.6,54.3,139,"£1,185",,"£1,185",V,68.0,200,,166,185,0.40,,,,,,,,,,
FORD,"Galaxy, Model Year Pre 2015",2.0 Duratec EcoBoost (203PS),A6,1999,Petrol,,,,,11.0,6.4,8.1,25.7,44.1,34.9,189,"£1,751",,"£1,751",V,72.0,731,72,33,,,,,,,,,,,,
FORD,"Galaxy, Model Year Pre 2015",2.0 Duratorq (140PS) (+DPF),A6,1997,Diesel,,,,,6.8,5.0,5.7,41.5,56.5,49.6,149,"£1,298",,"£1,298",V,68.0,298,,175,202,0.50,,,,,,,,,,
FORD,"Galaxy, Model Year Pre 2015",2.0 Duratorq (140PS) (+DPF),M6,1997,Diesel,,,,,6.5,4.7,5.3,43.5,60.1,53.3,139,"£1,208",,"£1,208",V,70.0,340,,137,179,0.10,,,,,,,,,,
FORD,"Galaxy, Model Year Pre 2015",2.0 Duratorq (163PS) (+DPF),A6,1997,Diesel,,,,,6.8,5.0,5.7,41.5,56.5,49.6,149,"£1,298",,"£1,298",V,68.0,298,,175,202,0.50,,,,,,,,,,
FORD,"Galaxy, Model Year Pre 2015",2.0 Duratorq (163PS) (+DPF),M6,1997,Diesel,,,,,6.5,4.7,5.3,43.5,60.1,53.3,139,"£1,208",,"£1,208",V,70.0,340,,137,179,0.10,,,,,,,,,,
FORD,"Galaxy, Model Year Pre 2015",2.2 Duratorq (200PS) (+DPF),A6,2179,Diesel,,,,,9.4,5.8,7.1,30.1,48.7,39.8,189,"£1,617",,"£1,617",V,68.0,240,,170,203,0.40,,,,,,,,,,
FORD,"Galaxy, Model Year Pre 2015",2.2 Duratorq (200PS) (+DPF),M6,2179,Diesel,,,,,8.4,5.8,6.8,33.6,48.7,41.5,179,"£1,551",,"£1,551",V,69.0,300,,155,200,0.20,,,,,,,,,,
FORD,"Grand C-MAX, Model Year Post 2014¾",1.0 EcoBoost (100PS) Stop-Start,M6,998,Petrol,,,,,6.4,4.6,5.2,44.1,61.4,54.3,118,"£1,125",,"£1,125",V,66.0,627,70,57,,,,,,,,,,,,
FORD,"Grand C-MAX, Model Year Post 2014¾",1.0 EcoBoost (125PS) Stop-Start,M6,998,Petrol,,,,,6.4,4.6,5.2,44.1,61.4,54.3,118,"£1,125",,"£1,125",V,66.0,627,70,37,,,,,,,,,,,,
FORD,"Grand C-MAX, Model Year Post 2014¾",1.6 Duratorq TDCi (115PS) (+DPF),M6,1560,Diesel,,,,,5.5,4.3,4.7,51.4,65.7,60.1,124,"£1,071",,"£1,071",V,69.0,189,,165,185,0.60,,,,,,,,,,
FORD,"Grand C-MAX, Model Year Post 2014¾",1.6 EcoBoost Stop-Start (150PS),M6,1596,Petrol,,,,,7.9,5.6,6.4,35.8,50.4,44.1,149,"£1,385",,"£1,385",V,69.0,340,56,34,,,,,,,,,,,,
FORD,"Grand C-MAX, Model Year Post 2014¾",1.6 EcoBoost Stop-Start (182PS),M6,1596,Petrol,,,,,7.9,5.6,6.4,35.8,50.4,44.1,149,"£1,385",,"£1,385",V,69.0,340,56,34,,,,,,,,,,,,
FORD,"Grand C-MAX, Model Year Post 2014¾",2.0 Duratorq TDCi (140PS) (+DPF),A6,1997,Diesel,,,,,7.1,4.9,5.7,39.8,57.6,49.6,149,"£1,298",,"£1,298",V,70.0,247,,145,168,0.40,,,,,,,,,,
FORD,"Grand C-MAX, Model Year Post 2014¾",2.0 Duratorq TDCi (140PS) (+DPF),M6,1997,Diesel,,,,,6.3,4.4,5.1,44.8,64.2,55.4,134,"£1,162",,"£1,162",V,71.0,340,,174,207,0.40,,,,,,,,,,
FORD,"Grand C-MAX, Model Year Post 2014¾",2.0 Duratorq TDCi (163PS) (+DPF),A6,1997,Diesel,,,,,7.1,4.9,5.7,39.8,57.6,49.6,149,"£1,298",,"£1,298",V,70.0,247,,145,168,0.40,,,,,,,,,,
FORD,"Grand C-MAX, Model Year Post 2014¾",2.0 Duratorq TDCi (163PS) (+DPF),M6,1997,Diesel,,,,,6.3,4.4,5.1,44.8,64.2,55.4,134,"£1,162",,"£1,162",V,71.0,340,,174,207,0.40,,,,,,,,,,
FORD,"Grand C-MAX, Model Year Pre 2014¾",1.0 EcoBoost (100PS) Stop-Start,M6,998,Petrol,,,,,6.4,4.6,5.2,44.1,61.4,54.3,118,"£1,125",,"£1,125",V,66.0,627,70,57,,,,,,,,,,,,
FORD,"Grand C-MAX, Model Year Pre 2014¾",1.0 EcoBoost (125PS) Stop-Start,M6,998,Petrol,,,,,6.4,4.6,5.2,44.1,61.4,54.3,118,"£1,125",,"£1,125",V,66.0,627,70,37,,,,,,,,,,,,
FORD,"Grand C-MAX, Model Year Pre 2014¾",1.6 Duratorq TDCi (115PS) (+DPF),M6,1560,Diesel,,,,,5.5,4.3,4.7,51.4,65.7,60.1,124,"£1,071",,"£1,071",V,69.0,357,,166,187,0.50,,,,,,,,,,
FORD,"Grand C-MAX, Model Year Pre 2014¾",1.6 EcoBoost Stop-Start (150PS),M6,1596,Petrol,,,,,7.9,5.6,6.4,35.8,50.4,44.1,149,"£1,385",,"£1,385",V,69.0,340,56,34,,,,,,,,,,,,
FORD,"Grand C-MAX, Model Year Pre 2014¾",1.6 EcoBoost Stop-Start (182PS),M6,1596,Petrol,,,,,7.9,5.6,6.4,35.8,50.4,44.1,149,"£1,385",,"£1,385",V,69.0,340,56,34,,,,,,,,,,,,
FORD,"Grand C-MAX, Model Year Pre 2014¾",2.0 Duratorq TDCi (140PS) (+DPF),A6,1997,Diesel,,,,,7.1,4.9,5.7,39.8,57.6,49.6,149,"£1,298",,"£1,298",V,70.0,247,,145,168,0.40,,,,,,,,,,
FORD,"Grand C-MAX, Model Year Pre 2014¾",2.0 Duratorq TDCi (140PS) (+DPF),M6,1997,Diesel,,,,,6.3,4.4,5.1,44.8,64.2,55.4,134,"£1,162",,"£1,162",V,71.0,340,,174,207,0.40,,,,,,,,,,
FORD,"Grand C-MAX, Model Year Pre 2014¾",2.0 Duratorq TDCi (163PS) (+DPF),A6,1997,Diesel,,,,,7.1,4.9,5.7,39.8,57.6,49.6,149,"£1,298",,"£1,298",V,70.0,247,,145,168,0.40,,,,,,,,,,
FORD,"Grand C-MAX, Model Year Pre 2014¾",2.0 Duratorq TDCi (163PS) (+DPF),M6,1997,Diesel,,,,,6.3,4.4,5.1,44.8,64.2,55.4,134,"£1,162",,"£1,162",V,71.0,340,,174,207,0.40,,,,,,,,,,
FORD,"Ka, Model Year - Pre 2104",1.2 Duratec (69PS),M5,1242,Petrol,,,,,5.8,4.4,4.9,48.7,64.2,57.6,115,"£1,061",,"£1,061",V,72.0,362,43,24,,,,,,,,,,,,
FORD,"Ka, Model Year - Pre 2104",1.3 Duratorq (75PS),M5,1248,Diesel,,,,,4.9,3.7,4.1,57.6,76.3,68.9,109,£934,,£934,V,72.8,333,,151,196,1.20,,,,,,,,,,
FORD,"Kuga, Model Year Pre 2015",1.6 EcoBoost (150PS),M6,1596,Petrol,,,,,8.3,5.6,6.6,34.0,50.4,42.8,154,"£1,428",,"£1,428",V,70.0,219,48,40,,,,,,,,,,,,
FORD,"Kuga, Model Year Pre 2015",1.6 EcoBoost (182PS),A6-AWD,1596,Petrol,,,,,10.2,6.3,7.7,27.7,44.8,36.7,179,"£1,665",,"£1,665",V,74.0,415,46,20,,,,,,,,,,,,
FORD,"Kuga, Model Year Pre 2015",2.0 Duratorq TDCi (140PS) (+DPF),A6-AWD,1997,Diesel,,,,,7.3,5.4,6.1,38.7,52.3,46.3,159,"£1,390",,"£1,390",V,69.0,128,,178,208,0.30,,,,,,,,,,
FORD,"Kuga, Model Year Pre 2015",2.0 Duratorq TDCi (140PS) (+DPF),M6,1997,Diesel,,,,,6.3,4.7,5.3,44.8,60.1,53.3,139,"£1,208",,"£1,208",V,71.0,306,,176,227,0.40,,,,,,,,,,
FORD,"Kuga, Model Year Pre 2015",2.0 Duratorq TDCi (140PS) (+DPF),M6-AWD,1997,Diesel,,,,,7.0,5.0,5.7,40.4,56.5,49.6,149,"£1,298",,"£1,298",V,71.0,306,,176,227,0.40,,,,,,,,,,
FORD,"Kuga, Model Year Pre 2015",2.0 Duratorq TDCi (163PS) (+DPF),A6-AWD,1997,Diesel,,,,,7.3,5.4,6.1,38.7,52.3,46.3,159,"£1,390",,"£1,390",V,69.0,128,,178,208,0.30,,,,,,,,,,
FORD,"Kuga, Model Year Pre 2015",2.0 Duratorq TDCi (163PS) (+DPF),M6-AWD,1997,Diesel,,,,,7.0,5.0,5.7,40.4,56.5,49.6,149,"£1,298",,"£1,298",V,71.0,306,,176,227,0.40,,,,,,,,,,
FORD,"Mondeo, Model Year Post 2015",1.6 Duratec EcoBoost (160PS) Stop-Start Estate,M6,1596,Petrol,,,,,8.2,5.4,6.4,34.4,52.3,44.1,149,"£1,385",,"£1,385",V,69.0,404,41,14,,,,,,,,,,,,
FORD,"Mondeo, Model Year Post 2015",1.6 Duratec EcoBoost (160PS) Stop-Start Saloon,M6,1596,Petrol,,,,,8.2,5.4,6.4,34.4,52.3,44.1,149,"£1,385",,"£1,385",V,69.0,404,41,14,,,,,,,,,,,,
FORD,"Mondeo, Model Year Post 2015",1.6 Duratec Ti-VCT (120PS) Estate,M5,1596,Petrol,,,,,9.1,5.3,6.7,31.0,53.3,42.2,156,"£1,448",,"£1,448",V,72.0,627,62,38,,,,,,,,,,,,
