Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Noise Level dB(A),Emissions CO,Emissions HC,Emissions NOx,Emissions HC+NOx,Emissions Particulates,Euro Standard,,,,,,
MERCEDES-BENZ,CLC-Class,CLC 200 Kompressor 205 Tyres at rear,M6,1796,Petrol,10.0,5.8,7.3,28.2,48.7,38.7,174,1240,73.0,0.202,0.027,0.020,,,IV,,,,,,
MERCEDES-BENZ,CLC-Class,"CLC 200 Kompressor 225/245 Tyres at rear on 16""/17"" Wheels",M6,1796,Petrol,10.1,5.9,7.4,28.0,47.9,38.2,176,1257,73.0,0.202,0.027,0.020,,,IV,,,,,,
MERCEDES-BENZ,CLC-Class,CLC 160 BlueEFFICIENCY 195 Tyres at rear,A5,1597,Petrol,10.5,5.8,7.5,26.9,48.7,37.7,178,1273,71.0,0.409,0.046,0.010,,,IV,,,,,,
MERCEDES-BENZ,CLC-Class,CLC 160 BlueEFFICIENCY 205 Tyres at rear,A5,1597,Petrol,10.6,5.9,7.6,26.6,47.9,37.2,181,1290,71.0,0.409,0.046,0.010,,,IV,,,,,,
MERCEDES-BENZ,CLC-Class,"CLC 200 Kompressor 245 Tyres at rear on 18"" Wheels",M6,1796,Petrol,10.2,6.1,7.6,27.7,46.3,37.2,181,1290,73.0,0.202,0.027,0.020,,,IV,,,,,,
MERCEDES-BENZ,CLC-Class,"CLC 180 Kompressor 245 Tyres at rear on 18"" Wheels",M6,1796,Petrol,10.2,6.2,7.6,27.7,45.6,37.2,182,1290,73.0,0.286,0.044,0.025,,,IV,,,,,,
MERCEDES-BENZ,CLC-Class,CLC 160 BlueEFFICIENCY 225/245 Tyres at rear,A5,1597,Petrol,10.7,6.0,7.7,26.4,47.1,36.7,184,1308,71.0,0.409,0.046,0.010,,,IV,,,,,,
MERCEDES-BENZ,CLC-Class,CLC 180 Kompressor 205 Tyres at rear,A5,1796,Petrol,11.1,5.9,7.8,25.4,47.9,36.2,186,1326,73.0,0.479,0.059,0.011,,,IV,,,,,,
MERCEDES-BENZ,CLC-Class,CLC 160 BlueEFFICIENCY 245 Tyres at rear,A5,1597,Petrol,10.9,6.2,7.9,25.9,45.6,35.8,189,1341,71.0,0.409,0.046,0.010,,,IV,,,,,,
MERCEDES-BENZ,CLC-Class,"CLC 180 Kompressor 225/245 Tyres at rear on 16""/17"" Wheels",A5,1796,Petrol,11.3,6.1,8.0,25.0,46.3,35.3,190,1360,73.0,0.479,0.059,0.011,,,IV,,,,,,
MERCEDES-BENZ,CLC-Class,CLC 200 Kompressor 205 Tyres at rear,A5,1796,Petrol,11.6,6.2,8.1,24.4,45.6,34.9,194,1376,70.0,0.401,0.046,0.015,,,IV,,,,,,
MERCEDES-BENZ,CLC-Class,"CLC 180 Kompressor 245 Tyres at rear on 18"" Wheels",A5,1796,Petrol,11.7,6.4,8.3,24.1,44.1,34.0,198,1412,73.0,0.479,0.059,0.011,,,IV,,,,,,
MERCEDES-BENZ,CLC-Class,"CLC 200 Kompressor 225/245 Tyres at rear on 16""/17"" Wheels",A5,1796,Petrol,11.8,6.4,8.3,23.9,44.1,34.0,198,1412,70.0,0.401,0.046,0.015,,,IV,,,,,,
MERCEDES-BENZ,CLC-Class,"CLC 200 Kompressor 245 Tyres at rear on 18"" Wheels",A5,1796,Petrol,11.9,6.7,8.6,23.7,42.2,32.8,204,1464,70.0,0.401,0.046,0.015,,,IV,,,,,,
MERCEDES-BENZ,CLC-Class,"CLC 230 245 Tyres at rear on 18"" Wheels",M6,2496,Petrol,13.6,7.1,9.5,20.8,39.8,29.7,225,1616,75.0,0.335,0.028,0.010,,,IV,,,,,,
MERCEDES-BENZ,CLC-Class,"CLC 230 245 Tyres at rear on 18"" Wheels",A7,2496,Petrol,13.4,7.3,9.5,21.1,38.7,29.7,226,1616,73.0,0.282,0.058,0.018,,,IV,,,,,,
MERCEDES-BENZ,CLC-Class,CLC 350 245 Tyres at rear,A7,3498,Petrol,14.2,7.6,10.0,19.9,37.2,28.2,239,1702,71.0,0.210,0.026,0.011,,,IV,,,,,,
MERCEDES-BENZ,CL-Class (C216) Coupé,CL500,A7,5461,Petrol,18.1,8.5,12.1,15.6,33.2,23.3,288,2060,74.0,0.376,0.042,0.031,,,IV,,,,,,
MERCEDES-BENZ,CL-Class (C216) Coupé,CL600,A5,5513,Petrol,21.7,10.0,14.3,13.0,28.2,19.8,340,2425,72.0,0.451,0.072,0.029,,,IV,,,,,,
MERCEDES-BENZ,CL-Class (C216) Coupé,CL63 AMG,A7,6208,Petrol,23.2,10.2,14.9,12.2,27.7,19.0,355,2527,74.0,0.310,0.022,0.024,,,IV,,,,,,
MERCEDES-BENZ,CL-Class (C216) Coupé,CL65 AMG,A5,5980,Petrol,23.1,10.0,14.8,12.2,28.2,19.1,355,2513,73.0,0.635,0.078,0.024,,,IV,,,,,,
MERCEDES-BENZ,CLK Cabriolet (A209),CLK 200 Kompressor 225 Tyres at rear,M6,1796,Petrol,12.2,6.5,8.6,23.2,43.5,32.8,205,1464,74.0,0.238,0.024,0.020,,,IV,,,,,,
MERCEDES-BENZ,CLK Cabriolet (A209),CLK 200 Kompressor 225 Tyres at rear,A5,1796,Petrol,12.6,6.5,8.7,22.4,43.5,32.5,207,1477,73.0,0.290,0.030,0.026,,,IV,,,,,,
MERCEDES-BENZ,CLK Cabriolet (A209),CLK 200 Kompressor 245/255 Tyres at rear,M6,1796,Petrol,12.4,6.8,8.9,22.8,41.5,31.7,212,1514,74.0,0.238,0.024,0.020,,,IV,,,,,,
MERCEDES-BENZ,CLK Cabriolet (A209),CLK 200 Kompressor 245/255 Tyres at rear,A5,1796,Petrol,12.8,6.8,9.0,22.1,41.5,31.4,214,1529,73.0,0.290,0.030,0.026,,,IV,,,,,,
MERCEDES-BENZ,CLK Cabriolet (A209),CLK 280 225 Tyres at rear,A7,2997,Petrol,13.3,7.0,9.3,21.2,40.4,30.4,222,1579,70.0,0.312,0.032,0.008,,,IV,,,,,,
MERCEDES-BENZ,CLK Cabriolet (A209),CLK 280 245 Tyres at rear,A7,2997,Petrol,13.5,7.2,9.5,20.9,39.2,29.7,227,1616,70.0,0.312,0.032,0.008,,,IV,,,,,,
MERCEDES-BENZ,CLK Cabriolet (A209),CLK 280 255 Tyres at rear,A7,2997,Petrol,13.6,7.3,9.6,20.8,38.7,29.4,229,1633,70.0,0.312,0.032,0.008,,,IV,,,,,,
MERCEDES-BENZ,CLK Cabriolet (A209),CLK 350 245 Tyres at rear,A7,3498,Petrol,14.5,7.6,10.1,19.5,37.2,28.0,241,1714,73.0,0.210,0.026,0.011,,,IV,,,,,,
MERCEDES-BENZ,CLK Cabriolet (A209),CLK 350 255 Tyres at rear,A7,3498,Petrol,14.6,7.7,10.2,19.3,36.7,27.7,244,1733,73.0,0.210,0.026,0.011,,,IV,,,,,,
MERCEDES-BENZ,CLK Cabriolet (A209),CLK 500 245 Tyres at rear,A7,4966,Petrol,17.1,8.5,11.6,16.5,33.2,24.4,275,1967,73.0,0.376,0.042,0.031,,,IV,,,,,,
MERCEDES-BENZ,CLK Cabriolet (A209),CLK 500 255 Tyres at rear,A7,4966,Petrol,17.2,8.6,11.7,16.4,32.8,24.1,278,1992,73.0,0.376,0.042,0.031,,,IV,,,,,,
MERCEDES-BENZ,CLK Cabriolet (A209),CLK 63 AMG 255 Tyres at rear,A5,6208,Petrol,21.6,10.2,14.4,13.1,27.7,19.6,344,2449,74.0,0.421,0.033,0.011,,,IV,,,,,,
MERCEDES-BENZ,CLK Coupé (C209),CLK 220 CDI no DPF 225 Tyres at rear,M6,2148,Diesel,8.6,5.1,6.4,32.8,55.4,44.1,169,1237,73.0,0.041,,0.243,0.257,0.020,IV,,,,,,
MERCEDES-BENZ,CLK Coupé (C209),CLK 220 CDI no DPF 245/255 Tyres at rear,M6,2148,Diesel,8.8,5.2,6.5,32.1,54.3,43.5,172,1254,73.0,0.041,,0.243,0.257,0.020,IV,,,,,,
MERCEDES-BENZ,CLK Coupé (C209),CLK 220 CDI no DPF 225 Tyres at rear,A5,2148,Diesel,9.1,5.6,6.8,31.0,50.4,41.5,180,1315,71.0,0.076,,0.220,0.236,0.021,IV,,,,,,
MERCEDES-BENZ,CLK Coupé (C209),CLK 220 CDI no DPF 245/255 Tyres at rear,A5,2148,Diesel,9.2,5.7,6.9,30.7,49.6,40.9,183,1334,71.0,0.076,,0.220,0.236,0.021,IV,,,,,,
MERCEDES-BENZ,CLK Coupé (C209),CLK 320 CDI no DPF 245 Tyres at rear,A7,2987,Diesel,10.0,5.8,7.3,28.2,48.7,38.7,193,1410,72.0,0.171,,0.219,0.251,0.020,IV,,,,,,
MERCEDES-BENZ,CLK Coupé (C209),CLK 320 CDI with DPF 245 Tyres at rear,A7,2987,Diesel,10.0,5.8,7.3,28.2,48.7,38.7,193,1410,72.0,0.091,,0.215,0.238,0.004,IV,,,,,,
MERCEDES-BENZ,CLK Coupé (C209),CLK 320 CDI no DPF 255 Tyres at rear,A7,2987,Diesel,10.3,6.2,7.7,27.4,45.6,36.7,205,1486,72.0,0.171,,0.219,0.251,0.020,IV,,,,,,
MERCEDES-BENZ,CLK Coupé (C209),CLK 320 CDI with DPF 255 Tyres at rear,A7,2987,Diesel,10.3,6.2,7.7,27.4,45.6,36.7,205,1487,72.0,0.091,,0.215,0.238,0.004,IV,,,,,,
MERCEDES-BENZ,CLK Coupé (C209),CLK 200 Kompressor 225 Tyres at rear,M6,1796,Petrol,11.9,6.2,8.3,23.7,45.6,34.0,198,1412,74.0,0.238,0.024,0.020,,,IV,,,,,,
MERCEDES-BENZ,CLK Coupé (C209),CLK 200 Kompressor 225 Tyres at rear,A5,1796,Petrol,12.1,6.2,8.4,23.3,45.6,33.6,200,1429,73.0,0.290,0.030,0.026,,,IV,,,,,,
MERCEDES-BENZ,CLK Coupé (C209),CLK 200 Kompressor 245/255 Tyres at rear,M6,1796,Petrol,12.2,6.7,8.7,23.2,42.2,32.5,207,1477,74.0,0.238,0.024,0.020,,,IV,,,,,,
MERCEDES-BENZ,CLK Coupé (C209),CLK 200 Kompressor 245/255 Tyres at rear,A5,1796,Petrol,12.6,6.5,8.7,22.4,43.5,32.5,207,1477,73.0,0.290,0.030,0.026,,,IV,,,,,,
MERCEDES-BENZ,CLK Coupé (C209),CLK 280 225 Tyres at rear,A7,2997,Petrol,13.2,6.9,9.2,21.4,40.9,30.7,220,1564,70.0,0.312,0.032,0.008,,,IV,,,,,,
MERCEDES-BENZ,CLK Coupé (C209),CLK 280 245 Tyres at rear,A7,2997,Petrol,13.4,7.1,9.4,21.1,39.8,30.1,224,1595,70.0,0.312,0.032,0.008,,,IV,,,,,,
MERCEDES-BENZ,CLK Coupé (C209),CLK 280 255 Tyres at rear,A7,2997,Petrol,13.5,7.2,9.5,20.9,39.2,29.7,227,1616,70.0,0.312,0.032,0.008,,,IV,,,,,,
MERCEDES-BENZ,CLK Coupé (C209),CLK 350 245 Tyres at rear,A7,3498,Petrol,14.3,7.3,9.9,19.8,38.7,28.5,237,1684,73.0,0.210,0.026,0.011,,,IV,,,,,,
MERCEDES-BENZ,CLK Coupé (C209),CLK 350 255 Tyres at rear,A7,3498,Petrol,14.4,7.4,10.0,19.6,38.2,28.2,239,1702,73.0,0.210,0.026,0.011,,,IV,,,,,,
MERCEDES-BENZ,CLK Coupé (C209),CLK 500 245 Tyres at rear,A7,4966,Petrol,16.7,8.3,11.4,16.9,34.0,24.8,270,1936,73.0,0.376,0.042,0.031,,,IV,,,,,,
MERCEDES-BENZ,CLK Coupé (C209),CLK 500 255 Tyres at rear,A7,4966,Petrol,16.8,8.4,11.5,16.8,33.6,24.6,273,1951,73.0,0.376,0.042,0.031,,,IV,,,,,,
MERCEDES-BENZ,CLK Coupé (C209),CLK 63 AMG 255 Tyres at rear,A7,6208,Petrol,21.3,10.0,14.2,13.3,28.2,19.9,338,2412,74.0,0.421,0.033,0.011,,,IV,,,,,,
MERCEDES-BENZ,CLK Coupé (C209),CLK 63 AMG Black Series,A7,6208,Petrol,23.3,10.8,15.3,12.1,26.2,18.5,369,2595,74.0,0.421,0.033,0.011,,,IV,,,,,,
MERCEDES-BENZ,CLS-Class (C219),CLS 320 CDI no DPF 245 Tyres at rear,A7,2987,Diesel,10.6,5.9,7.6,26.6,47.9,37.2,200,1466,74.0,0.079,,0.201,0.221,0.023,IV,,,,,,
MERCEDES-BENZ,CLS-Class (C219),CLS 320 CDI with DPF 245 Tyres at rear,A7,2987,Diesel,10.6,5.9,7.6,26.6,47.9,37.2,200,1466,70.0,0.031,,0.203,0.221,0.004,IV,,,,,,
MERCEDES-BENZ,CLS-Class (C219),CLS 320 CDI no DPF 275/285 Tyres at rear,A7,2987,Diesel,11.0,6.4,8.1,25.7,44.1,34.9,215,1563,74.0,0.079,,0.201,0.221,0.023,IV,,,,,,
MERCEDES-BENZ,CLS-Class (C219),CLS 320 CDI with DPF 275/285 Tyres at rear,A7,2987,Diesel,11.0,6.4,8.1,25.7,44.1,34.9,215,1563,70.0,0.031,,0.203,0.221,0.004,IV,,,,,,
MERCEDES-BENZ,CLS-Class (C219),CLS 350 CGI 245 Tyres at rear,A7,3498,Petrol,13.0,7.0,9.1,21.7,40.4,31.0,217,1549,72.0,0.078,0.068,0.037,,,IV,,,,,,
MERCEDES-BENZ,CLS-Class (C219),CLS 350 CGI 275/285 Tyres at rear,A7,3498,Petrol,13.2,7.2,9.3,21.4,39.2,30.4,222,1579,72.0,0.078,0.068,0.037,,,IV,,,,,,
MERCEDES-BENZ,CLS-Class (C219),CLS 500 245 Tyres at rear,A7,4966,Petrol,17.0,8.5,11.6,16.6,33.2,24.4,275,1967,72.0,0.376,0.042,0.031,,,IV,,,,,,
MERCEDES-BENZ,CLS-Class (C219),CLS 500 275/285 Tyres at rear,A7,4966,Petrol,17.2,8.7,11.8,16.4,32.5,23.9,280,2009,72.0,0.376,0.042,0.031,,,IV,,,,,,
MERCEDES-BENZ,CLS-Class (C219),CLS 63 AMG 285 Tyres at rear,A7,6208,Petrol,22.6,9.9,14.5,12.5,28.5,19.5,345,2462,74.0,0.121,0.034,0.043,,,IV,,,,,,
MERCEDES-BENZ,E-Class Estate (S211),E220 CDI no DPF 225 Tyres at rear,M6,2148,Diesel,9.6,5.6,7.1,29.4,50.4,39.8,188,1371,75.0,0.157,,0.156,0.179,0.021,IV,,,,,,
MERCEDES-BENZ,E-Class Estate (S211),E220 CDI no DPF 205/225 Tyres at rear,A5,2148,Diesel,9.8,5.9,7.3,28.8,47.9,38.7,194,1410,75.0,0.066,,0.147,0.170,0.021,IV,,,,,,
MERCEDES-BENZ,E-Class Estate (S211),E280 CDI no DPF 225 Tyres at rear,A7,2987,Diesel,10.6,5.9,7.6,26.6,47.9,37.2,202,1466,71.0,0.079,,0.201,0.226,0.023,IV,,,,,,
MERCEDES-BENZ,E-Class Estate (S211),E280 CDI with DPF 225 Tyres at rear,A7,2987,Diesel,10.6,5.9,7.6,26.6,47.9,37.2,202,1466,71.0,0.031,,0.203,0.221,0.004,IV,,,,,,
MERCEDES-BENZ,E-Class Estate (S211),E320 CDI no DPF 225 Tyres at rear,A7,2987,Diesel,10.6,5.9,7.6,26.6,47.9,37.2,202,1466,71.0,0.079,,0.201,0.226,0.023,IV,,,,,,
MERCEDES-BENZ,E-Class Estate (S211),E320 CDI with DPF 225 Tyres at rear,A7,2987,Diesel,10.6,5.9,7.6,26.6,47.9,37.2,202,1466,71.0,0.031,,0.203,0.221,0.004,IV,,,,,,
MERCEDES-BENZ,E-Class Estate (S211),E280 CDI no DPF 245/265 Tyres at rear,A7,2987,Diesel,11.0,6.4,8.1,25.7,44.1,34.9,215,1563,71.0,0.079,,0.201,0.226,0.023,IV,,,,,,
MERCEDES-BENZ,E-Class Estate (S211),E280 CDI with DPF 245/265 Tyres at rear,A7,2987,Diesel,11.0,6.4,8.1,25.7,44.1,34.9,215,1563,71.0,0.031,,0.203,0.221,0.004,IV,,,,,,
MERCEDES-BENZ,E-Class Estate (S211),E320 CDI no DPF 245/265 Tyres at rear,A7,2987,Diesel,11.0,6.4,8.1,25.7,44.1,34.9,215,1563,71.0,0.079,,0.201,0.226,0.023,IV,,,,,,
MERCEDES-BENZ,E-Class Estate (S211),E320 CDI with DPF 245/265 Tyres at rear,A7,2987,Diesel,11.0,6.4,8.1,25.7,44.1,34.9,215,1563,71.0,0.031,,0.203,0.221,0.004,IV,,,,,,
MERCEDES-BENZ,E-Class Estate (S211),E200 Kompressor 225 Tyres at rear,M6,1798,Petrol,12.4,6.7,8.9,22.8,42.2,31.7,212,1514,72.0,0.380,0.045,0.029,,,IV,,,,,,
MERCEDES-BENZ,E-Class Estate (S211),E350 CGI with 225 Tyres at rear,A7,3498,Petrol,13.1,6.5,8.9,21.6,43.5,31.7,213,1514,70.0,0.077,0.037,0.017,,,IV,,,,,,
MERCEDES-BENZ,E-Class Estate (S211),E200 Kompressor 245/265 Tyres at rear,M6,1798,Petrol,12.6,7.0,9.1,22.4,40.4,31.0,217,1549,72.0,0.380,0.045,0.029,,,IV,,,,,,
MERCEDES-BENZ,E-Class Estate (S211),E200 Kompressor  225 Tyres at rear,A5,1798,Petrol,12.9,6.9,9.2,21.9,40.9,30.7,219,1564,71.0,0.417,0.040,0.025,,,IV,,,,,,
MERCEDES-BENZ,E-Class Estate (S211),E200 Kompressor 245/265 Tyres at rear,A5,1798,Petrol,13.0,7.4,9.4,21.7,38.2,30.1,224,1595,71.0,0.417,0.040,0.025,,,IV,,,,,,
MERCEDES-BENZ,E-Class Estate (S211),E350 CGI with 245/265 Tyres at rear,A7,3498,Petrol,13.6,7.0,9.4,20.8,40.4,30.1,224,1595,70.0,0.077,0.037,0.017,,,IV,,,,,,
MERCEDES-BENZ,E-Class Estate (S211),E280 225 Tyres at rear,A7,2996,Petrol,13.8,7.3,9.7,20.5,38.7,29.1,232,1650,73.0,0.312,0.032,0.008,,,IV,,,,,,
MERCEDES-BENZ,E-Class Estate (S211),E350 225 Tyres at rear,A7,3498,Petrol,14.1,7.5,9.9,20.0,37.7,28.5,236,1684,74.0,0.210,0.026,0.011,,,IV,,,,,,
MERCEDES-BENZ,E-Class Estate (S211),E280 245/265 Tyres at rear,A7,2996,Petrol,14.1,7.6,10.0,20.0,37.2,28.2,239,1702,73.0,0.312,0.032,0.008,,,IV,,,,,,
MERCEDES-BENZ,E-Class Estate (S211),E350 245/265 Tyres at rear,A7,3498,Petrol,14.6,8.0,10.4,19.3,35.3,27.2,248,1765,74.0,0.210,0.026,0.011,,,IV,,,,,,
MERCEDES-BENZ,E-Class Estate (S211),E500 245/265 Tyres at rear,A7,5461,Petrol,17.3,8.5,11.8,16.3,33.2,23.9,280,2009,72.0,0.376,0.042,0.031,,,IV,,,,,,
MERCEDES-BENZ,E-Class Estate (S211),E63 AMG 265 Tyres at rear,A7,6208,Petrol,22.6,9.9,14.5,12.5,28.5,19.5,345,2462,74.0,0.121,0.034,0.043,,,IV,,,,,,
MERCEDES-BENZ,E-Class Saloon (W211),E220 CDI no DPF 205 Tyres at rear,M6,2149,Diesel,8.2,4.9,6.1,34.4,57.6,46.3,160,1178,74.0,0.157,,0.156,0.179,0.021,IV,,,,,,
MERCEDES-BENZ,E-Class Saloon (W211),E220 CDI no DPF 225 Tyres at rear,M6,2149,Diesel,8.7,5.0,6.3,32.5,56.5,44.8,167,1218,74.0,0.157,,0.156,0.179,0.021,IV,,,,,,
MERCEDES-BENZ,E-Class Saloon (W211),E220 CDI no DPF 205 Tyres at rear,A5,2149,Diesel,8.8,5.3,6.6,32.1,53.3,42.8,174,1275,71.0,0.066,,0.147,0.170,0.021,IV,,,,,,
MERCEDES-BENZ,E-Class Saloon (W211),E220 CDI no DPF 225 Tyres at rear,A5,2149,Diesel,9.1,5.4,6.7,31.0,52.3,42.2,177,1293,71.0,0.066,,0.147,0.170,0.021,IV,,,,,,
MERCEDES-BENZ,E-Class Saloon (W211),E280 CDI no DPF 225 Tyres at rear,A7,2987,Diesel,10.1,5.6,7.2,28.0,50.4,39.2,191,1392,72.0,0.079,,0.201,0.226,0.023,IV,,,,,,
MERCEDES-BENZ,E-Class Saloon (W211),E280 CDI with DPF 225 Tyres at rear,A7,2987,Diesel,10.1,5.6,7.2,28.0,50.4,39.2,191,1392,72.0,0.031,,0.203,0.221,0.004,IV,,,,,,
MERCEDES-BENZ,E-Class Saloon (W211),E320 CDI no DPF 225 Tyres at rear,A7,2987,Diesel,10.3,5.6,7.3,27.4,50.4,38.7,194,1410,72.0,0.079,,0.201,0.226,0.023,IV,,,,,,
MERCEDES-BENZ,E-Class Saloon (W211),E320 CDI with DPF 225 Tyres at rear,A7,2987,Diesel,10.3,5.6,7.3,27.4,50.4,38.7,194,1410,72.0,0.031,,0.203,0.221,0.004,IV,,,,,,
MERCEDES-BENZ,E-Class Saloon (W211),E280 CDI no DPF 245/265 Tyres at rear,A7,2987,Diesel,10.4,5.9,7.5,27.2,47.9,37.7,199,1447,72.0,0.079,,0.201,0.226,0.023,IV,,,,,,
MERCEDES-BENZ,E-Class Saloon (W211),E280 CDI with DPF 245/265 Tyres at rear,A7,2987,Diesel,10.4,5.9,7.5,27.2,47.9,37.7,199,1447,72.0,0.031,,0.203,0.221,0.004,IV,,,,,,
MERCEDES-BENZ,E-Class Saloon (W211),E320 CDI no DPF 245/265 Tyres at rear,A7,2987,Diesel,10.6,6.0,7.6,26.6,47.1,37.2,202,1466,72.0,0.079,,0.201,0.226,0.023,IV,,,,,,
MERCEDES-BENZ,E-Class Saloon (W211),E320 CDI with DPF 245/265 Tyres at rear,A7,2987,Diesel,10.6,6.0,7.6,26.6,47.1,37.2,202,1466,72.0,0.031,,0.203,0.221,0.004,IV,,,,,,
MERCEDES-BENZ,E-Class Saloon (W211),E200 Kompressor 205 Tyres at rear,M6,1796,Petrol,11.7,6.3,8.2,24.1,44.8,34.4,195,1396,73.0,0.380,0.045,0.029,,,IV,,,,,,
MERCEDES-BENZ,E-Class Saloon (W211),E200 Kompressor 225 Tyres at rear,M6,1796,Petrol,11.8,6.4,8.4,23.9,44.1,33.6,200,1429,73.0,0.380,0.045,0.029,,,IV,,,,,,
MERCEDES-BENZ,E-Class Saloon (W211),E200 Kompressor 205 Tyres at rear,A5,1796,Petrol,12.1,6.5,8.5,23.3,43.5,33.2,202,1446,70.0,0.417,0.040,0.025,,,IV,,,,,,
MERCEDES-BENZ,E-Class Saloon (W211),E200 Kompressor 225 Tyres at rear,A5,1796,Petrol,12.4,6.6,8.7,22.8,42.8,32.5,207,1477,70.0,0.417,0.040,0.025,,,IV,,,,,,
MERCEDES-BENZ,E-Class Saloon (W211),E350 CGI with 225 Tyres at rear,A7,3498,Petrol,13.0,6.3,8.7,21.7,44.8,32.5,208,1477,70.0,0.077,0.037,0.017,,,IV,,,,,,
MERCEDES-BENZ,E-Class Saloon (W211),E200 Kompressor 245/265 Tyres at rear,M6,1796,Petrol,12.2,6.7,8.8,23.2,42.2,32.1,210,1496,73.0,0.380,0.045,0.029,,,IV,,,,,,
MERCEDES-BENZ,E-Class Saloon (W211),E200 Kompressor 245/265 Tyres at rear,A5,1796,Petrol,12.6,6.8,8.9,22.4,41.5,31.7,212,1514,70.0,0.417,0.040,0.025,,,IV,,,,,,
MERCEDES-BENZ,E-Class Saloon (W211),E350 CGI with 245/265 Tyres at rear,A7,3498,Petrol,13.5,6.7,9.2,20.9,42.2,30.7,219,1564,70.0,0.077,0.037,0.017,,,IV,,,,,,
MERCEDES-BENZ,E-Class Saloon (W211),E280 205/225 Tyres at rear,A7,2996,Petrol,13.5,7.0,9.4,20.9,40.4,30.1,224,1595,73.0,0.312,0.032,0.008,,,IV,,,,,,
MERCEDES-BENZ,E-Class Saloon (W211),E350 225 Tyres at rear,A7,3498,Petrol,14.0,7.2,9.7,20.2,39.2,29.1,231,1650,74.0,0.210,0.026,0.011,,,IV,,,,,,
MERCEDES-BENZ,E-Class Saloon (W211),E280 245/265 Tyres at rear,A7,2996,Petrol,13.8,7.3,9.7,20.5,38.7,29.1,232,1650,73.0,0.312,0.032,0.008,,,IV,,,,,,
MERCEDES-BENZ,E-Class Saloon (W211),E350 245/265 Tyres at rear,A7,3498,Petrol,14.4,7.8,10.2,19.6,36.2,27.7,244,1733,74.0,0.210,0.026,0.011,,,IV,,,,,,
MERCEDES-BENZ,E-Class Saloon (W211),E500 245/265 Tyres at rear,A7,5461,Petrol,16.9,8.2,11.5,16.7,34.4,24.6,273,1951,72.0,0.376,0.042,0.031,,,IV,,,,,,
MERCEDES-BENZ,E-Class Saloon (W211),E63 AMG 265 Tyres at rear,A7,6208,Petrol,22.3,9.8,14.3,12.7,28.8,19.8,341,2425,74.0,0.121,0.034,0.043,,,IV,,,,,,
MERCEDES-BENZ,E-Class Saloon Extended (VF211),E280 CDI 225 Tyres at rear with DPF,A7,2987,Diesel,12.3,7.4,9.2,23.0,38.2,30.7,244,1777,71.0,0.046,,0.267,0.281,0.005,IV,,,,,,
MERCEDES-BENZ,GL-Class (X164) Estate,"GL320 CDI 4MATIC with DPF 265/275 Tyres on 18''/ 19"" Wheels at rear",A7,2987,Diesel,12.3,8.3,9.7,23.0,34.0,29.1,257,1875,74.0,0.082,,0.273,0.290,0.004,IV,,,,,,
MERCEDES-BENZ,GL-Class (X164) Estate,"GL320 CDI 4MATIC no DPF 265/275 Tyres on 18''/19"" Wheels at rear",A7,2987,Diesel,12.3,8.3,9.7,23.0,34.0,29.1,257,1875,74.0,0.016,,0.262,0.277,0.034,IV,,,,,,
MERCEDES-BENZ,GL-Class (X164) Estate,"GL320 CDI 4MATIC no DPF 275/295 Tyres on 20""/21"" Wheels at rear",A7,2987,Diesel,12.9,8.2,10.0,21.9,34.4,28.2,264,1934,74.0,0.016,,0.262,0.277,0.034,IV,,,,,,
MERCEDES-BENZ,GL-Class (X164) Estate,GL320 CDI 4MATIC with DPF 275/295 Tyres on 20''/21'' Wheels at rear,A7,2987,Diesel,12.9,8.2,10.0,21.9,34.4,28.2,264,1934,74.0,0.082,,0.273,0.290,0.004,IV,,,,,,
MERCEDES-BENZ,GL-Class (X164) Estate,"GL420 CDI 4MATIC with DPF 275 Tyres on 19"" Wheels at rear",A7,3996,Diesel,15.6,9.2,11.6,18.1,30.7,24.4,307,2236,72.0,0.090,,0.355,0.363,0.003,IV,,,,,,
MERCEDES-BENZ,GL-Class (X164) Estate,"GL420 CDI 4MATIC with DPF 275/295 Tyres on 20""/21"" Wheels at rear",A7,3996,Diesel,16.0,9.4,11.8,17.7,30.1,23.9,313,2283,72.0,0.090,,0.335,0.363,0.003,IV,,,,,,
MERCEDES-BENZ,GL-Class (X164) Estate,"GL500 4MATIC 275 Tyres on 19"" Wheels at rear",A7,5461,Petrol,18.4,10.4,13.3,15.4,27.2,21.2,317,2264,76.0,0.359,0.020,0.017,,,IV,,,,,,
MERCEDES-BENZ,GL-Class (X164) Estate,"GL500 4MATIC 275/295 Tyres on 20""/21"" Wheels at rear",A7,5461,Petrol,18.6,10.6,13.5,15.2,26.6,20.9,322,2297,76.0,0.359,0.020,0.017,,,IV,,,,,,
MERCEDES-BENZ,M-Class (W164) Estate,ML 280 CDI 4MATIC no DPF 255/285 Tyres on 18''/19'' Wheels at rear,A7,2987,Diesel,12.1,7.9,9.4,23.3,35.8,30.1,246,1812,74.0,0.020,,0.314,0.328,0.029,IV,,,,,,
