Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Noise Level dB(A),Emissions CO,Emissions HC,Emissions NOx,Emissions HC+NOx,Emissions Particulates,Euro Standard,,,,,,
AUDI,A3 Sportback,1.4 TFSI 125PS,M6,1390,Petrol,7.9,5.0,6.0,35.8,56.5,47.1,143,1019,73.0,0.383,0.040,0.038,,,IV,,,,,,
AUDI,A3 Sportback,1.6 102PS 7speed S-Tronic,D7,1595,Petrol,9.4,5.1,6.7,30.1,55.4,42.2,159,1138,72.0,0.240,0.024,0.019,,,IV,,,,,,
AUDI,A3 Sportback,1.8 TFSI 160PS,M6,1781,Petrol,9.1,5.4,6.7,31.0,52.3,42.2,159,1138,74.0,0.424,0.055,0.013,,,IV,,,,,,
AUDI,A3 Sportback,1.6 102PS,M5,1595,Petrol,9.5,5.4,6.9,29.7,52.3,40.9,164,1174,70.0,0.761,0.064,0.032,,,IV,,,,,,
AUDI,A3 Sportback,2.0 TFSI 200PS,M6,1984,Petrol,9.9,5.6,7.2,28.5,50.4,39.2,171,1225,73.0,0.430,0.038,0.013,,,IV,,,,,,
AUDI,A3 Sportback,2.0 TFSI quattro 200PS S-Tronic,D6,1984,Petrol,10.0,6.2,7.6,28.2,45.6,37.2,180,1290,71.0,0.187,0.032,0.020,,,IV,,,,,,
AUDI,A4 Avant,1.9 TDI 115PS,M5,1896,Diesel,7.9,4.6,5.8,35.8,61.4,48.7,154,1120,71.0,0.051,,0.191,0.210,0.021,IV,,,,,,
AUDI,A4 Avant,2.0 TDI 140PS,M6,1968,Diesel,7.9,4.6,5.8,35.8,61.4,48.7,154,1120,73.0,0.115,,0.226,0.257,0.022,IV,,,,,,
AUDI,A4 Avant,2.0 TDI 170PS with DPF,M6,1984,Diesel,7.9,4.6,5.8,35.8,61.4,48.7,154,1120,72.0,0.017,,0.190,0.198,0.001,IV,,,,,,
AUDI,A4 Avant,2.0 TDI 140PS Multitronic,AV,1968,Diesel,8.2,5.1,6.2,34.4,55.4,45.6,164,1196,72.0,0.044,,0.229,0.241,0.022,IV,,,,,,
AUDI,A4 Avant,2.0 TDI quattro 170PS,QM6,1984,Diesel,9.3,5.4,6.8,30.4,52.3,41.5,179,1315,74.0,0.010,,0.191,0.201,0.001,IV,,,,,,
AUDI,A4 Avant,2.7 V6 TDI 180PS Multitronic with DPF,AV,2698,Diesel,9.2,5.4,6.8,20.7,52.3,41.5,179,1315,72.0,0.166,,0.188,0.210,0.001,IV,,,,,,
