Manufacturers,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
VOLKSWAGEN,Golf Cabriolet 2 Door Convertible,Colour Concept 2.0  115 bhp,A4,1984,Petrol,13.3,6.8,9.3,21.2,41.5,30.4,221,700,III,71,0.668,0,0.082,0.07,0
VOLKSWAGEN,Golf Cabriolet 2 Door Convertible,Avantgarde 2.0  115 bhp,A4,1984,Petrol,13.3,6.8,9.3,21.2,41.5,30.4,221,700,III,71,0.668,0,0.082,0.07,0
VOLKSWAGEN,Golf 3/5 Door Hatchback,E SDI 1.9  68 bhp,M5,1896,Diesel,7.1,4.4,5.3,39.8,64.2,53.3,143,409,III,73,0.436,0.394,0,0.314,0.036
VOLKSWAGEN,Golf 3/5 Door Hatchback,S TDI 1.9  90 bhp,M5,1896,Diesel,6.8,4.3,5.2,41.5,65.7,54.3,140,402,III,71,0.117,0.403,0,0.369,0.029
VOLKSWAGEN,Golf 3/5 Door Hatchback,SE TDI 1.9  90 bhp,A4,1896,Diesel,9.1,4.9,6.4,31.0,57.6,44.1,173,495,III,70,0.207,0.34,0,0.299,0.04
VOLKSWAGEN,Golf 3/5 Door Hatchback,SE TDI 1.9  90 bhp,M5,1896,Diesel,6.8,4.3,5.2,41.5,65.7,54.3,140,402,III,71,0.117,0.403,0,0.369,0.029
VOLKSWAGEN,Golf 3/5 Door Hatchback,SE TDI 1.9 100 bhp,M5,1896,Diesel,6.8,4.4,5.3,41.5,64.2,53.3,143,409,III,74,0.076,0.355,0,0.33,0.03
VOLKSWAGEN,Golf 3/5 Door Hatchback,GTI 2.0 115 bhp Manual,M5,1984,Petrol,11.1,6.3,8.1,25.4,44.8,34.9,194,610,III,73,0.794,0,0.068,0.03,0
VOLKSWAGEN,Golf 3/5 Door Hatchback,GTI TDI 1.9 115 bhp,M5,1896,Diesel,7.0,4.4,5.3,40.4,64.2,53.3,143,409,III,72,0.109,0.351,0,0.33,0.03
VOLKSWAGEN,Golf 3/5 Door Hatchback,GTI TDI 1.9 115 bhp,M6,1896,Diesel,7.0,4.4,5.3,40.4,64.2,53.3,143,409,III,73,0.165,0.484,0,0.441,0.031
VOLKSWAGEN,Golf 5 Door Estate,E SDI 1.9  68 bhp,M5,1896,Diesel,7.1,4.4,5.3,39.8,64.2,53.3,143,409,III,73,0.436,0.394,0,0.314,0.036
VOLKSWAGEN,Golf 5 Door Estate,S 1.9 TDI 90 bhp,M5,1896,Diesel,6.9,4.4,5.3,40.9,64.2,53.3,143,409,III,71,0.117,0.403,0,0.369,0.029
VOLKSWAGEN,Golf 5 Door Estate,S 1.9 TDI PD 115 bhp,M6,1896,Diesel,7.1,4.5,5.4,39.8,62.8,52.3,146,417,III,73,0.165,0.484,0,0.441,0.031
VOLKSWAGEN,Golf 5 Door Estate,SE TDI 1.9  90 bhp,A4,1896,Diesel,9.2,5.0,6.5,30.7,56.5,43.5,176,502,III,70,0.207,0.34,0,0.299,0.04
VOLKSWAGEN,Golf 5 Door Estate,SE TDI 1.9  90 bhp,M5,1896,Diesel,6.9,4.4,5.3,40.9,64.2,53.3,143,409,III,71,0.117,0.403,0,0.369,0.029
VOLKSWAGEN,Golf 5 Door Estate,SE TDI PD 1.9  115 bhp,M6,1896,Diesel,7.1,4.5,5.4,39.8,62.8,52.3,146,417,III,73,0.165,0.484,0,0.441,0.031
VOLKSWAGEN,Bora 4 Door Saloon,S TDI 1.9  90 bhp,M5,1896,Diesel,6.8,4.3,5.2,41.5,65.7,54.3,140,402,III,71,0.117,0.403,0,0.369,0.029
VOLKSWAGEN,Bora 4 Door Saloon,SE 2.0  115 bhp,M5,1984,Petrol,11.1,6.3,8.1,25.4,44.8,34.9,194,610,III,73,0.794,0,0.068,0.03,0
VOLKSWAGEN,Bora 4 Door Saloon,SE TDI 1.9  90 bhp,A4,1896,Diesel,9.1,4.9,6.4,31.0,57.6,44.1,173,495,III,70,0.207,0.34,0,0.299,0.04
VOLKSWAGEN,Bora 4 Door Saloon,SE TDI 1.9  90 bhp,M5,1896,Diesel,6.8,4.3,5.2,41.5,65.7,54.3,140,402,III,71,0.117,0.403,0,0.369,0.029
VOLKSWAGEN,Bora 4 Door Saloon,SE TDI PD 1.9  115 bhp,M6,1896,Diesel,7.1,4.5,5.4,39.8,62.8,52.3,146,417,III,73,0.165,0.484,0,0.441,0.031
VOLKSWAGEN,Bora 4 Door Saloon,Sport 2.0  115 bhp,M5,1984,Petrol,11.1,6.3,8.1,25.4,44.8,34.9,194,610,III,73,0.794,0,0.068,0.03,0
VOLKSWAGEN,Bora 4 Door Saloon,Sport TDI PD 1.9  115 bhp,M6,1896,Diesel,7.1,4.5,5.4,39.8,62.8,52.3,146,417,III,73,0.165,0.484,0,0.441,0.031
