Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Noise Level dB(A),Emissions CO,Emissions HC,Emissions NOx,Emissions HC+NOx,Emissions Particulates,Euro Standard
AUDI,A4 Avant,2.0 TDI 170ps with DPF,M6,1984,Diesel,7.9,4.6,5.8,35.8,61.4,48.7,154,1266,72.0,0.017,,0.190,0.198,0.001,IV
AUDI,A4 Avant,2.0 TDI 170ps quattro,QM6,1984,Diesel,9.3,5.4,6.8,30.4,52.3,41.5,179,1485,74.0,0.010,,0.191,0.201,0.001,IV
AUDI,A4 Avant,2.7 V6 TDI 180ps with DPF,M6,2698,Diesel,9.6,5.2,6.8,29.4,54.3,41.5,182,1485,72.0,0.217,,0.195,0.221,0.001,IV
AUDI,A4 Avant,2.7 V6 TDI 180ps Multitronic with DPF,AV,2698,Diesel,9.2,5.4,6.8,20.7,52.3,41.5,179,1485,72.0,0.166,,0.188,0.210,0.001,IV
AUDI,A4 Avant,3.0 V6 TDI 233ps quattro,QM6,2967,Diesel,10.7,5.7,7.5,26.4,49.6,37.7,198,1635,73.0,0.208,,0.210,0.240,0.023,IV
AUDI,A4 Avant,3.0 V6 TDI 233ps quattro Tiptronic,QA6,2967,Diesel,11.8,6.3,8.3,23.9,44.8,34.0,222,1813,73.0,0.234,,0.171,0.204,0.022,IV
AUDI,New A4 Avant,2.0 CR TDI 120ps with DPF,M6,1968,Diesel,6.8,4.5,5.3,41.5,62.8,53.3,140,1157,72.0,0.124,,0.140,0.162,0.003,IV
AUDI,New A4 Avant,2.0 TDI 143ps with DPF,M6,1968,Diesel,7.0,4.5,5.4,40.4,62.8,52.3,143,1179,72.0,0.181,,0.159,0.183,0.000,IV
AUDI,New A4 Avant,2.0 TDI 143ps Multitronic with DPF,AV,1968,Diesel,7.5,5.2,6.0,37.7,54.3,47.1,159,1309,72.0,0.040,,0.167,0.176,0.006,IV
AUDI,New A4 Avant,2.0 CR TDI 170ps with DPF,M6,1968,Diesel,7.2,4.7,5.6,39.2,60.1,50.4,149,1223,73.0,0.178,,0.141,0.168,0.003,IV
AUDI,New A4 Avant,2.7 TDI 190ps Multitronic with DPF,AV,2697,Diesel,7.7,5.8,6.5,36.7,48.7,43.5,170,1417,72.0,0.173,,0.157,0.178,0.001,IV
AUDI,New A4 Avant,3.0 V6 TDI quattro 240ps with DPF,QM6,2967,Diesel,8.9,5.6,6.8,31.7,50.4,41.5,179,1485,74.0,0.168,,0.158,0.187,0.001,IV
AUDI,A5 Coupé,2.0 CR TDI 170ps with DPF,M6,1968,Diesel,7.0,4.4,5.3,40.4,64.2,53.3,140,1157,73.0,0.189,,0.131,0.162,0.001,IV
AUDI,A5 Coupé,2.7 V6 TDI 190ps Multitronic with DPF,AV,2698,Diesel,8.2,5.8,6.7,34.4,48.7,42.2,179,1461,71.0,0.214,,0.141,0.160,0.001,IV
AUDI,A5 Coupé,3.0 V6 TDI quattro 240ps with DPF,QM6,2967,Diesel,8.8,5.3,6.6,32.1,53.3,42.8,172,1440,74.0,0.131,,0.150,0.174,0.000,IV
AUDI,A5 Coupé,3.0 V6 TDI quattro 240ps Tiptronic with DPF,QA6,2967,Diesel,8.6,5.9,6.9,32.8,47.9,40.9,182,1507,74.0,0.086,,0.122,0.132,0.001,IV
AUDI,A6 Saloon,2.0 TDI 140ps,M6,1968,Diesel,8.5,4.7,6.1,33.2,60.1,46.3,159,1331,72.0,0.150,,0.230,0.267,0.020,IV
AUDI,A6 Saloon,2.0 TDI 140ps Multitronic with DPF,AV,1968,Diesel,8.8,5.5,6.7,32.1,51.4,42.2,178,1461,72.0,0.020,,0.199,0.210,0.001,IV
AUDI,A6 Saloon,2.7 V6 TDI 180ps,M6,2698,Diesel,9.7,5.3,6.9,29.1,53.3,40.9,184,1507,72.0,0.232,,0.215,0.251,0.017,IV
AUDI,A6 Saloon,2.7 V6 TDI 180ps Multitronic,AV,2698,Diesel,9.9,5.7,7.2,28.5,49.6,39.2,192,1573,71.0,0.294,,0.196,0.232,0.021,IV
AUDI,A6 Saloon,2.7 V6 TDI 180ps Multitronic with DPF,AV,2698,Diesel,10.0,5.8,7.3,28.2,48.7,38.7,194,1593,71.0,0.350,,0.232,0.279,0.002,IV
AUDI,A6 Saloon,2.7 V6 TDI 180ps quattro Tiptronic,QA6,2698,Diesel,11.5,6.6,8.4,24.6,42.8,33.6,222,1835,70.0,0.222,,0.222,0.248,0.023,IV
AUDI,A6 Saloon,3.0 V6 TDI 233ps quattro,QM6,2967,Diesel,11.3,6.1,8.0,25.0,46.3,35.3,213,1746,73.0,0.280,,0.232,0.271,0.020,IV
AUDI,A6 Saloon,3.0 V6 TDI 233ps quattro Tiptronic,QA6,2967,Diesel,12.0,6.1,8.3,23.5,46.3,34.0,222,1813,70.0,0.205,,0.219,0.245,0.017,IV
AUDI,A6 Avant,2.0 TDI 140ps,M6,1968,Diesel,8.6,4.8,6.2,32.8,58.9,45.6,162,1352,72.0,0.150,,0.230,0.267,0.020,IV
AUDI,A6 Avant,2.0 TDI 140ps Multitronic with DPF,AV,1968,Diesel,8.8,5.5,6.7,32.1,51.4,42.2,178,1461,72.0,0.020,,0.199,0.210,0.001,IV
AUDI,A6 Avant,2.7 V6 TDI 180ps,M6,2698,Diesel,9.9,5.5,7.1,28.5,51.4,39.8,189,1549,72.0,0.232,,0.215,0.251,0.017,IV
AUDI,A6 Avant,2.7 V6 TDI 180ps Multitronic,AV,2698,Diesel,10.1,5.8,7.4,28.0,48.7,38.2,197,1614,71.0,0.294,,0.196,0.232,0.021,IV
AUDI,A6 Avant,2.7 V6 TDI 180ps Multitronic with DPF,AV,2698,Diesel,10.2,5.9,7.5,27.7,47.9,37.7,199,1635,71.0,0.350,,0.232,0.279,0.002,IV
AUDI,A6 Avant,2.7 V6 TDI 180ps quattro Tiptronic,QA6,2698,Diesel,11.6,6.7,8.5,24.4,42.2,33.2,225,1857,70.0,0.222,,0.222,0.248,0.023,IV
AUDI,A6 Avant,3.0 V6 TDI 233ps quattro,QM6,2967,Diesel,11.4,6.2,8.1,24.8,45.6,34.9,215,1766,73.0,0.280,,0.232,0.271,0.020,IV
AUDI,A6 Avant,3.0 V6 TDI 233ps quattro Tiptronic,QA6,2967,Diesel,12.1,6.2,8.4,23.3,45.6,33.6,225,1835,70.0,0.205,,0.219,0.245,0.017,IV
AUDI,A8,3.0 V6 TDI 233ps quattro Tiptronic,QA6,2967,Diesel,12.0,6.4,8.4,23.5,44.1,33.6,224,1835,73.0,0.274,,0.208,0.241,0.014,IV
AUDI,A8,3.0 V6 TDI 233ps quattro LWB Tiptronic with DPF,QA6,2967,Diesel,12.0,6.4,8.4,23.5,44.1,33.6,224,1835,73.0,0.168,,0.178,0.213,0.001,IV
AUDI,A8,4.2 V8 TDI 326ps quattro Tiptronic with DPF,QA6,4134,Diesel,13.3,7.2,9.4,21.2,39.2,30.1,249,2048,69.0,0.152,,0.216,0.242,0.001,IV
AUDI,A8,4.2 V8 TDI 326ps quattro LWB Tiptronic with DPF,QA6,4134,Diesel,13.3,7.2,9.4,21.2,39.2,30.1,249,2048,69.0,0.152,,0.216,0.242,0.001,IV
AUDI,TT Coupé,2.0 CR TDI quattro 170ps with DPF,QM6,1984,Diesel,7.0,4.3,5.3,40.4,65.7,53.3,139,1157,73.0,0.293,,0.118,0.153,0.004,IV
AUDI,TT Roadster,2.0 CR TDI quattro 170ps with DPF,QM6,1984,Diesel,7.2,4.5,5.5,39.2,62.8,51.4,144,1199,73.0,0.232,,0.136,0.167,0.004,IV
AUDI,Cabriolet,2.0 TDI 140ps with DPF,M6,1968,Diesel,8.4,5.3,6.4,33.6,53.3,44.1,172,1398,73.0,0.107,,0.233,0.255,0.004,IV
AUDI,Cabriolet,2.0 TDI 140ps Multitronic with DPF,AV,1968,Diesel,8.1,5.6,6.5,34.9,50.4,43.5,175,1417,72.0,0.224,,0.167,0.209,0.001,IV
AUDI,Cabriolet,3.0 V6 TDI quattro 233ps with DPF,QM6,2967,Diesel,11.1,6.0,7.9,25.4,47.1,35.8,209,1722,73.0,0.261,,0.177,0.215,0.001,IV
AUDI,Cabriolet,3.0 V6 TDI quattro 233ps Tiptronic with DPF,QA6,2967,Diesel,11.9,6.4,8.4,23.7,44.1,33.6,223,1835,73.0,0.200,,0.211,0.241,0.001,IV
AUDI,Q5,2.0 CR TDI quattro 170ps with DPF,QM6,1968,Diesel,8.2,5.8,6.7,34.4,48.7,42.2,175,1461,72.0,0.155,,0.171,0.195,0.003,IV
AUDI,Q5,2.0 CR TDI quattro 170ps S-Tronic with DPF,D6,1968,Diesel,8.2,6.0,6.8,34.4,47.1,41.5,179,1485,70.0,0.077,,0.172,0.183,0.007,IV
AUDI,Q7,3.0 V6 TDI quattro 240ps Tiptronic,QA6,2967,Diesel,11.3,7.8,9.1,25.0,36.2,31.0,239,1989,72.0,0.195,,0.189,0.208,0.002,IV
AUDI,Q7,3.0 V6 TDI quattro 240ps Tiptronic with DPF,QA6,2967,Diesel,11.3,7.8,9.1,25.0,36.2,31.0,239,1989,72.0,0.195,,0.189,0.208,0.002,IV
AUDI,Q7,4.2 V8 TDI 326ps quattro Tiptronic with DPF,QA6,4134,Diesel,14.9,8.9,11.1,19.0,31.7,25.4,294,2427,71.0,0.159,,0.309,0.329,0.001,IV
AUDI,Q7,6.0 V12 TDI quattro 500ps Tiptronic,QA6,5934,Diesel,14.8,9.3,11.3,19.1,30.4,25.0,298,2466,74.0,0.187,,0.243,0.264,0.007,IV
AUDI,A3,1.6 102ps,M5,1595,Petrol,9.5,5.3,6.8,30.1,53.3,41.5,162,1472,70.0,0.761,0.074,0.040,,,IV
AUDI,A3,1.6 102ps S-Tronic,D6,1595,Petrol,9.4,5.1,6.7,30.1,55.4,42.2,159,1448,72.0,0.240,0.024,0.019,,,IV
AUDI,A3 Sportback,1.4 TFSI 125ps,M6,1390,Petrol,7.9,5.0,6.0,35.8,56.5,47.1,143,1297,73.0,0.383,0.040,0.038,,,IV
AUDI,A3 Sportback,1.6 102ps,M5,1595,Petrol,9.5,5.4,6.9,29.7,52.3,40.9,164,1494,70.0,0.761,0.064,0.032,,,IV
AUDI,A3 Sportback,1.6 102ps 7speed S-Tronic,D7,1595,Petrol,9.4,5.1,6.7,30.1,55.4,42.2,159,1448,72.0,0.240,0.024,0.019,,,IV
AUDI,A3 Sportback,1.8 TFSI 160ps,M6,1781,Petrol,9.1,5.4,6.7,31.0,52.3,42.2,159,1448,74.0,0.424,0.055,0.013,,,IV
AUDI,A3 Sportback,2.0 TFSI 200ps,M6,1984,Petrol,9.9,5.6,7.2,28.5,50.4,39.2,171,1559,73.0,0.430,0.038,0.013,,,IV
AUDI,A3 Sportback,2.0 TFSI 200ps quattro S-Tronic,D6,1984,Petrol,10.0,6.2,7.6,28.2,45.6,37.2,180,1642,71.0,0.187,0.032,0.020,,,IV
AUDI,A4 Saloon,1.8 T 163ps,M5,1781,Petrol,11.1,6.4,8.1,25.4,44.1,34.9,192,1751,71.0,0.446,0.020,0.017,,,IV
AUDI,A4 Saloon,1.8 T 163ps Multitronic,AV,1781,Petrol,11.4,6.5,8.3,24.8,43.5,34.0,199,1797,71.0,0.617,0.058,0.049,,,IV
AUDI,A4 Saloon,1.8 T 163ps quattro,QM6,1781,Petrol,12.6,6.9,9.0,22.4,40.9,31.4,216,1946,71.0,0.481,0.035,0.043,,,IV
AUDI,A4 Saloon,2.0 130ps,M5,1984,Petrol,11.6,6.1,8.2,24.4,46.3,34.4,193,1776,73.0,0.682,0.068,0.044,,,IV
AUDI,A4 Saloon,2.0 130ps Multitronic,AV,1984,Petrol,11.0,6.3,8.0,25.7,44.8,35.3,191,1731,71.0,0.705,0.088,0.038,,,IV
AUDI,A4 Saloon,2.0 TFSI 200ps,M6,1984,Petrol,10.9,5.8,7.7,25.9,48.7,36.7,184,1665,73.0,0.610,0.059,0.017,,,IV
AUDI,A4 Saloon,2.0 TFSI 200ps Multitronic,AV,1984,Petrol,11.2,6.3,8.1,25.2,44.8,34.9,194,1751,73.0,0.636,0.038,0.018,,,IV
AUDI,A4 Saloon,2.0 TFSI 200ps quattro,QM6,1984,Petrol,12.6,6.6,8.8,22.4,42.8,32.1,209,1903,74.0,0.634,0.034,0.019,,,IV
AUDI,A4 Saloon,2.0 TFSI 200ps quattro Tiptronic,QA6,1984,Petrol,13.1,7.2,9.4,21.6,39.2,30.1,224,2030,74.0,0.617,0.061,0.024,,,IV
AUDI,A4 Saloon,2.0 TFSI 220ps Special Edition,M6,1984,Petrol,11.2,6.2,8.0,25.2,45.6,35.3,192,1731,73.0,0.666,0.076,0.029,,,IV
AUDI,A4 Saloon,2.0 TFSI 220ps quattro Special Edition,QM6,1984,Petrol,12.7,6.9,9.0,22.2,40.9,31.4,214,1946,73.0,0.643,0.046,0.030,,,IV
AUDI,A4 Saloon,3.2 V6 FSI 256ps Multitronic,AV,3123,Petrol,13.8,6.9,9.5,20.5,40.9,29.7,225,2057,74.0,0.887,0.075,0.037,,,IV
AUDI,A4 Saloon,3.2 V6 FSI 256ps quattro,QM6,3123,Petrol,15.7,7.5,10.5,18.0,37.7,26.9,250,2271,71.0,0.462,0.064,0.031,,,IV
AUDI,A4 Saloon,3.2 V6 FSI 256ps quattro Tiptronic,QA6,3123,Petrol,15.5,7.8,10.6,18.2,36.2,26.6,252,2297,72.0,0.749,0.080,0.062,,,IV
AUDI,New A4 Saloon,3.2 V6 FSI quattro 265ps Tiptronic,A6,3197,Petrol,13.0,6.7,9.0,21.7,42.2,31.4,215,1946,70.0,0.166,0.079,0.018,,,IV
AUDI,A4 Avant,1.8 T 163ps,M5,1781,Petrol,11.4,6.5,8.3,24.8,43.5,34.0,199,1797,71.0,0.446,0.020,0.017,,,IV
AUDI,A4 Avant,1.8 T 163ps Multitronic,AV,1781,Petrol,11.5,6.6,8.4,24.6,42.8,33.6,202,1818,71.0,0.617,0.058,0.049,,,IV
AUDI,A4 Avant,1.8 T 163ps quattro,QM6,1781,Petrol,12.6,6.9,9.0,22.4,40.9,31.4,216,1946,71.0,0.481,0.035,0.043,,,IV
AUDI,A4 Avant,2.0 130ps,M5,1984,Petrol,11.6,6.1,8.2,24.4,46.3,34.4,193,1776,73.0,0.682,0.068,0.044,,,IV
AUDI,A4 Avant,2.0 130ps Multitronic,AV,1984,Petrol,11.1,6.4,8.1,25.4,44.1,34.9,194,1751,71.0,0.705,0.088,0.038,,,IV
AUDI,A4 Avant,2.0 TFSI 200ps,M6,1984,Petrol,11.0,5.9,7.8,25.7,47.9,36.2,186,1688,73.0,0.610,0.059,0.017,,,IV
AUDI,A4 Avant,2.0 TFSI 200ps Multitronic,AV,1984,Petrol,11.2,6.3,8.1,25.2,44.8,34.9,194,1751,73.0,0.636,0.038,0.018,,,IV
AUDI,A4 Avant,2.0 TFSI 200ps quattro,QM6,1984,Petrol,12.6,6.6,8.8,22.4,42.8,32.1,209,1903,74.0,0.634,0.034,0.019,,,IV
AUDI,A4 Avant,2.0 TFSI 200ps quattro Tiptronic,QA6,1984,Petrol,13.4,7.3,9.5,21.1,38.7,29.7,226,2057,74.0,0.617,0.061,0.024,,,IV
AUDI,A4 Avant,2.0 TFSI 220ps Special Edition,M6,1984,Petrol,11.3,6.3,8.1,25.0,44.8,34.9,194,1751,73.0,0.666,0.076,0.029,,,IV
AUDI,A4 Avant,2.0 TFSI 220ps quattro Special Edition,QM6,1984,Petrol,12.7,6.9,9.0,22.2,40.9,31.4,214,1946,73.0,0.643,0.046,0.030,,,IV
AUDI,A4 Avant,3.2 V6 256ps Multitronic,AV,3123,Petrol,13.9,7.0,9.6,20.3,40.4,29.4,228,2078,74.0,0.887,0.075,0.037,,,IV
AUDI,A4 Avant,3.2 V6 256ps quattro,QM6,3123,Petrol,15.8,7.6,10.6,17.9,37.2,26.6,252,2297,71.0,0.462,0.064,0.031,,,IV
AUDI,A4 Avant,3.2 V6 256ps quattro Tiptronic,QA6,3123,Petrol,15.5,7.8,10.6,18.2,36.2,26.6,252,2297,72.0,0.749,0.080,0.062,,,IV
AUDI,New A4 Avant,1.8 TFSI 160ps,M6,1798,Petrol,9.6,5.8,7.2,29.4,48.7,39.2,160,1559,73.0,0.509,0.065,0.025,,,IV
AUDI,New A4 Avant,2.0 TFSI 180ps,M6,1984,Petrol,9.1,5.4,6.8,31.0,52.3,41.5,170,1472,73.0,0.278,0.036,0.025,,,IV
AUDI,New A4 Avant,2.0 TFSI 180ps Multitronic,AV,1984,Petrol,9.7,5.9,7.3,29.1,47.9,38.7,175,1579,74.0,0.626,0.062,0.024,,,IV
AUDI,New A4 Avant,2.0 TFSI 210ps,M6,1984,Petrol,9.1,5.4,6.8,31.0,52.3,41.5,160,1472,74.0,0.278,0.036,0.025,,,IV
AUDI,New A4 Avant,3.2 FSI quattro 265ps,QM6,3197,Petrol,13.0,6.8,9.1,21.7,41.5,31.0,216,1971,74.0,0.151,0.055,0.017,,,IV
AUDI,New A4 Avant,3.2 FSI quattro 265ps Tiptronic,QA6,3197,Petrol,13.1,6.9,9.2,21.6,40.9,30.7,219,1990,70.0,0.146,0.066,0.017,,,IV
AUDI,New A4 Avant,3.2 V6 265ps Multitronic,AV,3197,Petrol,11.4,6.7,8.4,24.8,42.2,33.6,199,1818,74.0,0.143,0.054,0.014,,,IV
